演藝團體名稱,申請類別,立案字號,主管機關,主管機關代碼,團址,網址
臺北木偶劇團,傳統戲曲,0998,臺北市政府文化局,379590000E,臺北市北投區石牌路2段315巷28弄14之7號4樓之1,http://www.taipei-puppet.com
台北箏樂團,音樂,0997,臺北市政府文化局,379590000E,臺北市大安區辛亥路2段171巷6弄4號1樓,http://tw.myblog.yahoo.com/guzheng-lover
粘立人魔術館,雜藝,0996,臺北市政府文化局,379590000E,臺北市士林區文林路165號1樓,
台北小花劇團,戲劇,0995,臺北市政府文化局,379590000E,臺北市大安區和平東路2段16號8樓之2,
無限大演社,戲劇,0994,臺北市政府文化局,379590000E,臺北市內湖區南京東路6段451巷57號13樓之9,http://www.infinity-studio.tw/
台灣藍琴,音樂,0992,臺北市政府文化局,379590000E,臺北市萬華區南寧路43-1號8樓,
拾棲劇團,戲劇,0991,臺北市政府文化局,379590000E,臺北市松山區光復北路165巷31號1樓,
墨客樂團,音樂,0990,臺北市政府文化局,379590000E,臺北市士林區文林路165號1樓,
臺灣藝文方家,戲劇,0988,臺北市政府文化局,379590000E,臺北市中正區青島東路4之4號,
蓬瀛曲集,戲劇,0987,臺北市政府文化局,379590000E,臺北市中正區台北市林森南路140號2樓之一,http://61.218.53.80/pyqj/
夏卡緹融合印度舞團,舞蹈,0986,臺北市政府文化局,379590000E,臺北市士林區忠誠路二段70巷12號2樓,http://blog.sina.com.tw/bellydance
銀河谷音,戲劇,0984,臺北市政府文化局,379590000E,臺北市中山區民族東路452號1樓,
REAP以樂打擊樂團,音樂,0982,臺北市政府文化局,379590000E,臺北市大安區和平東路一段214號4樓,
台灣小戲團,戲劇,0981,臺北市政府文化局,379590000E,臺北市中山區明水路555號15樓之32,
鑼聲若響歌舞劇藝術表演團,戲劇,0980,臺北市政府文化局,379590000E,臺北市萬華區峨嵋街122號5樓之5,
送樂活街舞創作團隊,舞蹈,0979,臺北市政府文化局,379590000E,臺北市中正區中山北路1段33巷35-1號1樓,
安娜琪舞蹈劇場,舞蹈,0975,臺北市政府文化局,379590000E,臺北市大同區承德路3段8巷27號5樓,
茱麗亞鋼琴二重奏,音樂,0974,臺北市政府文化局,379590000E,臺北市士林區天母東路1-2號4樓,
慕風工坊,音樂,0972,臺北市政府文化局,379590000E,臺北市大安區復興南路二段148巷8號5樓,
原聲演人,戲劇,0971,臺北市政府文化局,379590000E,臺北市大安區新生南路三段56巷6號B1,
玖玖合唱團,音樂,0970,臺北市政府文化局,379590000E,臺北市中正區文盛里2鄰羅斯福路3段240巷7弄15之1號2樓,
台灣古典音樂網愛樂聯盟,音樂,0969,臺北市政府文化局,379590000E,臺北市大安區永康街4巷18號4樓,http://www.t-classical.com
瘋戲樂工作室,戲劇,0967,臺北市政府文化局,379590000E,臺北市大安區光復南路440號10樓,
PLAY劇團,戲劇,0966,臺北市政府文化局,379590000E,臺北市信義區忠孝東路5段369號10-3F,
創新騎士團,音樂,0965,臺北市政府文化局,379590000E,臺北市北投區振興街1號四樓之5,
純純文創,雜藝,0963,臺北市政府文化局,379590000E,臺北市松山區民生東路5段69巷3弄1號,
台灣國際音樂藝術,音樂,0962,臺北市政府文化局,379590000E,臺北市松山區民生東路5段69巷3弄1號,http://www.tapba.url.tw
同黨劇團,戲劇,0961,臺北市政府文化局,379590000E,臺北市萬華區漢口街2段51號13樓之1,
劇織造,戲劇,0960,臺北市政府文化局,379590000E,臺北市中正區忠孝東路一段35號11樓,
音瀑奧譜聲音藝術實驗室,雜藝,0959,臺北市政府文化局,379590000E,臺北市大安區富陽街166號5樓,http://iolab.tw
迴響劇團,戲劇,0958,臺北市政府文化局,379590000E,臺北市中山區南京東路2段160號6樓,https://www.facebook.com/ECHOTheaterCompany/
海馬,音樂,0957,臺北市政府文化局,379590000E,臺北市文山區指南路3段51號6樓之2,http://facebook.com/pages/hai-ma-tuan
台北人室內樂團,音樂,0956,臺北市政府文化局,379590000E,臺北市文山區木柵路3段85巷14弄14號2樓,
台灣兒童合唱團,音樂,0955,臺北市政府文化局,379590000E,臺北市中山區中山北路3段30號5樓,http://www.worldvision.org.tw
中正愛樂管絃樂團,音樂,0954,臺北市政府文化局,379590000E,臺北市中正區金門街9-5號1樓,
元和劇子,戲劇,0953,臺北市政府文化局,379590000E,臺北市大安區和平東路1段185號9樓之6,
采旋藝術團,舞蹈,0952,臺北市政府文化局,379590000E,臺北市文山區興隆路2段220巷31弄3號2樓,
慕音合唱團,音樂,0951,臺北市政府文化局,379590000E,臺北市士林區社中街123號7樓之一,http://www.facebook.com/moodinn/info
魔浪超劇場,戲劇,0950,臺北市政府文化局,379590000E,臺北市萬華區成都路4號10樓,
台北市蘭心合唱團,音樂,0949,臺北市政府文化局,379590000E,臺北市中山區南京東路一段16號9樓之9,
御箏樂坊,音樂,0948,臺北市政府文化局,379590000E,臺北市中正區信義路1段9之2號1樓,
台北永樂扶輪社合唱團,音樂,0947,臺北市政府文化局,379590000E,臺北市中山區長安東路一段16號11號之6,http://wretch.cc/blog/rotaryyinlog
音踏 In Tap,舞蹈,0946,臺北市政府文化局,379590000E,臺北市內湖區民權東路6段134巷34號3樓,
