編號,許可證,字號,公司名稱,公司電話,手機,公司地址,負責人
1,環藥病媒,63-001,喜時國際股份有限公司,(02)27949999,,臺北市內湖區堤頂大道1段35號5樓之1,王聰仁
2,環藥病媒,63-004,環清害蟲驅除有限公司,(02)28133201,,臺北市士林區社正路12號2樓,陳瑞明
3,環藥病媒,63-010,彼得害蟲驅除有限公司,(02)27992000,,臺北市內湖區環山路2段53巷6弄4號1樓,徐月蘭
4,環藥病媒,63-011,九吉有限公司,(02)87918082,,臺北市內湖區成功路4段68號8樓之1,陳美嶧
5,環藥病媒,63-014,巧巧生活事業有限公司,(02)87913858,,臺北市內湖區新湖二路339號5樓,曾琇君
6,環藥病媒,63-015,大台北除蟲股份有限公司,(02)27943438,,臺北市信義區中坡南路132號4樓之9,陳鳳明
7,環藥病媒,63-020,功清企業有限公司,(02)27211212,,臺北市中山區復興北路66號10樓之3,林威志
8,環藥病媒,63-021,步步企業有限公司,(02)28323211,,臺北市士林區承德路5段24號4樓,陳政忠
9,環藥病媒,63-022,台灣康美克環境衛生器材股份有限公司,(02)25929068,,臺北市中山區天祥路61巷22號,李明昌
10,環藥病媒,63-029,曜陞興業有限公司,(02)29957028,,臺北市大安區四維路208巷1之1號1樓,王陞曜
11,環藥病媒,63-030,艾喜益有限公司,(02)28724147,,臺北市文山區木柵路3段85巷23弄24號1樓,高育瑋
12,環藥病媒,63-031,大華消毒股份有限公司,(02)25025025,,臺北市中山區建國北路2段151巷22號1樓,廖文斌
13,環藥病媒,63-034,中華除蟲股份有限公司,(02)25320000,,臺北市中山區北安路458巷23號1樓,林建基
14,環藥病媒,63-036,大安除蟲股份有限公司,(02)27996688,,臺北市信義區中坡南路132號4樓之9,陳鳳明
15,環藥病媒,63-037,祥信除蟲有限公司,(02)26587887,,臺北市內湖區陽光街68巷144之1號1樓,余守孟
16,環藥病媒,63-041,志成股份有限公司,(02)23656551,,臺北市中正區羅斯福路3段230號1樓,李玉鼎
17,環藥病媒,63-046,東昇清潔工程有限公司,(02)27929939,,臺北市內湖區成功路2段250巷24號,邱創井
18,環藥病媒,63-048,中西行,(02)23211571,,臺北市中正區南昌路2段81號4樓,李慧音
19,環藥病媒,63-050,嘉怡股份有限公司,(02)27027274,,臺北市大安區信義路4段6號14樓之11,張泰迪
20,環藥病媒,63-051,如新環境清潔工程有限公司,(02)27629855,,臺北市松山區民權東路5段25號1樓,林漢鍾
21,環藥病媒,63-054,宏興除蟲有限公司,(02)23019717,,臺北市萬華區中華路2段420號4樓之2,陳建和
22,環藥病媒,63-055,威格企業有限公司,(02)23899924,,臺北市中山區新生北路3段88巷29號1樓,林必信
23,環藥病媒,63-056,保潔國際物業管理股份有限公司,(02)27935020,,臺北市松山區八德路4段666號3樓之3,黃美美
24,環藥病媒,63-057,科境股份有限公司,(02)27613099,,臺北市內湖區民權東路6段56巷7號,黃美美
25,環藥病媒,63-058,傑康清潔有限公司,(02)28934008,,臺北市北投區新興路152巷4號,丁桂華
26,環藥病媒,63-059,台揚環保事業股份有限公司,(02)27920333,,臺北市內湖區民權東路6段62號4樓,高秀祝
27,環藥病媒,63-060,總體改造有限公司,(02)26515317,,臺北市南港區東新街97-4號3樓,游忠霖
28,環藥病媒,63-065,一一一乙乙乙丁丁七皇有限公司,(02)28814639,,臺北市士林區承德路4段292巷11弄9號,廖國賢
29,環藥病媒,63-068,諾卡威國際股份有限公司,(02)25704911,,臺北市松山區八德路3段74巷35弄4號,李光程
30,環藥病媒,63-072,環聯滅蟲有限公司,(02)27421718,,臺北市松山區八德路4段245巷32弄21號1樓 ,簡詠翰
31,環藥病媒,63-076,台璟企業股份有限公司,(02)87925066,,臺北市內湖區瑞光路8號5樓之1,陳克恭
32,環藥病媒,63-077,十方清潔服務社,(02)25577572,,臺北市大同區雙連街65巷14號 ,陳光裕
33,環藥病媒,63-078,維家企業有限公司,(02)23685000 ,,臺北市中正區晉江街51號 ,潘秋萍
34,環藥病媒,63-079,新高清潔服務股份有限公司,(02)27968086,,臺北市中山區復興北路178號13樓之5 ,顧卓群
35,環藥病媒,63-080,元貿大樓管理顧問有限公司,(02)25285500,,臺北市松山區八德路4段175號2樓,陳文峰
36,環藥病媒,63-084,趨勢環保服務有限公司,(02)23369388,,臺北市萬華區環河南路2段284號 ,陳柏賓
37,環藥病媒,63-086,威合股份有限公司,(02)27766188,,臺北市中山區復興北路2號5樓之7 ,蔡?杉
38,環藥病媒,63-091,嘉村實業有限公司,(02)24366399,,臺北市大安區忠孝東路4段162號11樓之5,林?揚
39,環藥病媒,63-093,治潔有限公司,(02)22348629,,臺北市文山區指南路2段45巷20號1樓,錢月影
40,環藥病媒,63-095,萬成航空科技股份有限公司,(02)25411866,,臺北市中山區中山北路2段129號5樓之3,曹美香
41,環藥病媒,63-098,居家病媒防治有限公司,(02)25873968,,臺北市大同區環河北路2段135號1樓 ,宋培瑜
42,環藥病媒,63-101,綠十字國際有限公司,(02)28263350,,臺北市北投區自強街141巷5號1樓,胡騰憲
