縣市,編號,寵物登記機構名稱,地址,電話
臺北市,V01001,隆記動物醫院,松山區民生東路5段212巷1號1樓,27607639
臺北市,V01002,澤禾動物醫院,松山區健康路228號,27616267
臺北市,V01004,日健動物綜合醫院,松山區光復北路6-2號1樓,25707508
臺北市,V01007,人人愛動物醫院,松山區延吉街46-3號,25778182
臺北市,V01011,良醫動物醫院,松山區八德路4段188號,27615091
臺北市,V01012,泰山動物醫院,松山區光復南路52號,25792650
臺北市,V01015,台北動物醫院,松山區光復北路164號,27176036
臺北市,V01016,台欣動物醫院,松山區健康路187號,25285119
臺北市,V01017,新亞動物醫院,松山區延壽街330巷3號1樓,27457119
臺北市,V01018,曼哈頓動物醫院,松山區市民大道4段77號1樓,27815203
臺北市,V01019,嘉慶動物醫院,松山區八德路4段214-1號1樓,87879121
臺北市,V01030,豐盛動物醫院,松山區光復北路46號1樓,25785605
臺北市,V01034,恩亞動物醫院,松山區健康路325巷14號1樓,27678889
臺北市,V03005,復興動物醫院,松山區八德路2段381號1樓,27711414
臺北市,V03028,興泰動物醫院,松山區延吉街57號1樓,25795722
臺北市,V04013,中山動物醫院,松山區民權東路3段140巷5號1樓,27196996
臺北市,V04033,社團法人支持流浪貓絕育計劃協會,松山區八德路3段74巷13弄8號1樓,25779931
臺北市,V01036,澄諾動物醫院,松山區富錦街461號,27653160
臺北市,V01039,貓瘋非營利慈善貓專科醫院,松山區八德路4段216號,29103877
臺北市,V04035,小王子動物醫院,松山區八德路4段123號1樓,25676897
臺北市,V01041,金靈國際股份有限公司,松山區八德路4段620號1樓,27468558
臺北市,V01042,北歐三狗有限公司,松山區八德路3段224號,25779886
臺北市,V01043,跨樂提有限公司,松山區八德路2段429號2-4樓,27412777
臺北市,V01044,康普動物醫院,松山區南京東路4段141號1、2樓,27129890
臺北市,V01045,喵團錦族貓舍,松山區八德路4段604-1號1樓,961096062
臺北市,V01046,狗窩好日子有限公司,松山區民生東路5段137巷2-5號1樓,973540167
臺北市,V01911,喵喵屋,松山區八德路4段618號3樓,27636300
臺北市,V01912,股感媒體科技股份有限公司,松山區民生東路3段135號4樓,27168310
臺北市,V01010,欣旺動物醫院,信義區松山路265號,27618013
臺北市,V02002,安安動物醫院,信義區松德路57號,27281315
臺北市,V02004,陽光動物醫院,信義區林口街222號1樓,27279922
臺北市,V02005,名冠動物醫院,信義區中坡南路207號,27590447
臺北市,V02007,文逸動物醫院,信義區和平東路3段391巷8弄27號,27322254
