序號,機構名稱,郵遞區號,地址,電話
1,國立台灣大學醫學院附設醫院,100,臺北市中正區中山南路７、８號；常德街１號,02 23123456
2,美嘉美整形外科診所,100,臺北市中正區信義路二段251號5樓,02-23961515
3,君綺美形診所,100,臺北市中正區忠孝西路1段6號13樓,023-141-998
4,皇妍時尚整形外科診所,100,臺北市中正區忠孝西路一段6號8樓,023-811-100
5,渾然天成診所,100,臺北市中正區忠孝西路1段45號3樓,2388-3188
6,慕顏時尚美學診所,100,臺北市中正區衡陽路7號14樓,023-826-480
7,風華整形外科診所,100,臺北市中正區忠孝西路1段6號2、3樓,02-23886363
8,美學院整形外科診所,100,臺北市中正區羅斯福路三段312號7樓,02-23690100
9,東京風采整形外科診所,100,臺北市中正區仁愛路二段48號7樓,02-23581738
10,車參聖整形外科診所,100,臺北市中正區重慶南路1段13號5樓、6樓,023-885-238
11,安瑟美渥優活診所,100,臺北市中正區博愛路224巷5號6樓,0975-755-971
12,臺北市立聯合醫院,103,臺北市大同區鄭州路145號,025-523-234
13,時尚假期整形醫美診所,103,臺北市大同區南京西路278號2樓,02-25582277
14,夢工場整形醫美診所,103,臺北市大同區承德路一段32號5樓,02-25588822
15,心湛美學診所,104,臺北市中山區南京東路2段60號12樓,0225-816-898
16,茱麗雅整形美學婦產科診所,104,臺北市中山區南京東路1段2號4樓之2、4樓之3、4樓之4,02-25683086
17,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,104,臺北市中山區中山北路二段９２號,0225-433-535
18,中山實美整形外科診所,104,臺北市中山區中山北路二段１０６之２號４樓,0227-646-921
19,東方整形外科診所,104,臺北市中山區中山北路一段１２２號２樓,0225-235-225
20,登彩整形外科診所,104,臺北市中山區中山北路二段62巷5號1樓,025-315-762
21,星未萊國際醫美診所,104,臺北市中山區復興北路38號6樓、40號6樓,02-87739039
22,京硯整形外科診所,104,臺北市中山區長春路210號1樓、212號(1樓)、212之1號(1樓)、212之2號(1樓),02-25031076
23,極緻醫美診所,104,臺北市中山區南京東路2段96號5樓及6樓,025-222-168
24,君綺整形外科診所,104,臺北市中山區南京東路2段111號2樓,
25,池明仁整形外科診所,104,臺北市中山區民生東路一段13號5樓,0225-223-377
