年度,區域,私有資產名稱,同意補助項目,核定補助經費
96,中山區,臨濟護國禪寺,大殿、山門修復工程(第3期),3600000
96,大同區,陳德星堂,三川殿屋面修復,3600000
96,大同區,大稻埕千秋街店屋53,修復工程 (第2期),3600000
96,大同區,大稻埕千秋街店屋51,修復工程 (第2期)(廢止補助),2400000
96,萬華區,艋舺清水巖祖師廟,修復工程(第7期),1000000
96,大同區,陳悅記祖宅,公館廳三進緊急搶修工程,120000
96,大同區,陳德星堂,後續(柱廊、過水廊)修復工程,1500000
96,中山區,中山基督長老教會,教堂外圍及內部油漆工程,180000
96,大同區,文萌樓,修復設計委託案,450000
96,大同區,大稻埕千秋街店屋53,修復工程 (第3期),850000
96,中山區,臨濟護國禪寺,大殿、山門修復工程(第4期),2700000
97,萬華區,艋舺青山宮,文物數位典藏計畫,400000
97,萬華區,艋舺青山宮,正殿後牆防水處理工程(廢止補助),200000
97,大同區,慈雲寺,修復工程 (第4期),4000000
97,萬華區,慈雲寺,後續修復工程規劃設計委託案,500000
97,北投區,長老教會北投教堂,修復工程規劃設計委託案(廢止補助),500000
97,大同區,陳德星堂,正殿修護工程(第3期)(廢止補助),5310000
97,北投區,北投文物館,屋面修復工程,350000
97,大安區,義芳居古厝,修復及再利用工程(局部修繕第1期),180000
97,大安區,義芳居古厝,修復及再利用工程(局部修繕第2期),650000
97,大安區,義芳居古厝,修復及再利用工程(局部修繕第3期),390000
97,大安區,義芳居古厝,全區木構造腐朽及蟲蟻危害調查計畫(廢止補助),180000
97,大同區,陳德星堂,三川殿剪黏修復工程,1400000
97,大同區,陳德星堂,柱廊、過水廊剪黏、屋脊、屋面修復工程,1530000
97,文山區,景美集應廟,砂岩石材防護工程(廢止補助),180000
97,中山區,中山基督長老教會,古蹟教堂白蟻防治及監測工程,66400
98,北投區,北投普濟寺,住持寮房修復工程規劃設計委託案,500000
98,萬華區,慈雲寺,修復工程 (第5期),4000000
98,中正區,濟南教會,濟南基督長老教會教查研究,600000
98,大同區,陳德星堂,財團法人陳德星堂培訓古蹟導覽員研習再利用計畫,250000
98,士林區,芝山岩惠濟宮,文宣編輯印製,250000
98,文山區,景美集應廟,聘雇保全、購買消防設備、印刷導覽摺頁、社區文化活動、工作人員教育訓練,122000
98,北投區,長老教會北投教堂,編輯印刷、保全人員、教育訓練、網站規劃製作、環境綠化、消防設備、清潔維護(廢止補助),140000
98,北投區,北投普濟寺,調查研究出版計劃,800000
98,中正區,濟南教會,編輯印刷導覽摺頁、拍攝製作影音宣傳短片,450000
98,大安區,清真寺,網路資訊平台、導覽影片規劃、導覽手冊製作(廢止補助),610000
98,大同區,文萌樓,再活化計畫,376000
98,北投區,章嘉活佛舍利塔塔蹟,聘僱保全、環境清潔、植栽香花美化、簡易維修,200000
98,大同區,周進春茶行,文化導覽系列書籍出版計劃,300000
98,大同區,迪化街1段274號,歷建修復紀錄片、歷建消防防範短片、歷建網站架設、模型製作、紀念章製作,100000
98,大同區,李臨秋故居,管理維護再利用計畫(廢止補助),3200000
99,北投區,北投普濟寺,住持寮房修復工程(第1期),5500000
99,北投區,北投文物館,緊急搶修工程,320000
99,大安區,義芳居古厝,前埕樹圍及地坪整修工程,600000
99,中山區,中山基督長老教會,禮拜堂鐘樓外牆緊急修復工程,220000
99,萬華區,慈雲寺,修復工程(後庭院植生美化工程),950000
99,萬華區,艋舺清水巖祖師廟,緊急搶修工程(廢止補助),270000
99,萬華區,艋舺謝宅,整體規劃設計(廢止補助),950000
99,萬華區,漢口街二段125號店屋,修復工程,1000000
99,大同區,大稻埕千秋街店屋,古蹟開放首展暨講座開講系列,960000
99,大同區,陳德星堂,99年再利用計畫,154800
99,文山區,景美集應廟,古蹟所在及交通標示牌與管理維護計畫,750000
99,北投區,章嘉活佛舍利塔塔蹟,環境清潔及日常維護,200000
99,北投區,北投文物館,原鄉台灣再現北投計畫,1200000
100,大同區,陳德星堂,正殿修復工程(第四期工程),4050000
100,萬華區,艋舺謝宅,整體規劃設計,950000
100,萬華區,萬華林宅,整體修復第一期工程,2000000
100,內湖區,內湖郭氏古宅,修復第一期工程,9000000
100,中正區,濟南基督長老教會,禮拜堂修復第一期工程,2000000
100,大同區,台北霞海城隍廟,交趾燒及泥塑日常維護及清理作業紀錄出版,104000
100,大同區,陳德星堂,古蹟再利用計畫─民國100年度,258220
100,北投區,北投文物館,再現北投百年風華,360000
100,大安區,清真寺,100年度台北市私有古蹟歷史建築暨聚落管理維護及再利用計畫,432000
100,萬華區,慈雲寺,古蹟開放暨再利用管理維護計畫,115500
101,萬華區,萬華林宅,第一期後續及第二期工程,8000000
101,萬華區,慈雲寺,修復工程第六期工程,3500000
101,大同區,周進春茶行,製茶工廠修復工程(歷建),4000000
101,大同區,陳德星堂,彩繪修復工程,1200000
101,中山區,中山基督長老教會,禮拜堂外牆修復工程(廢止補助),628000
101,中正區,蒲添生故居,屋頂防漏換瓦整修及白蟻防治工程(歷建),1000000
101,中正區,濟南基督長老教會,禮拜堂修復工程(第二期工程),4000000
101,北投區,北投普濟寺,住持寮房修復工程(第二期),4000000
101,內湖區,內湖郭氏古宅,修復工程(第二期工程),4000000
101,大同區,陳德星堂,臺北市陳德星堂祭祀禮儀保存暨古蹟導覽進階培訓計畫(廢止補助),250000
101,中正區,蒲添生故居,台灣雕塑拓荒者─蒲添生互動介面建置,200000
