序號,行政區域代碼,診所名稱,地址,電話
1,63000110,士林抱抱心身醫學診所,臺北市士林區中山北路5段476號7樓,02-28835477
2,63000110,天晴診所,臺北市士林區中山北路六段292號、292號2樓,02-28355329
3,63000110,士林身心醫學診所,臺北市士林區文林路410號(1、2樓),02- 2881-2205
4,63000110,社子安心診所,臺北市士林區延平北路五段76號,02-28136622
5,63000110,自由想心理診所,臺北市士林區福華路122號2樓,02-28314837
6,63000110,天母康健身心診所,臺北市士林區福華路157巷3號1樓,02-28378787
7,63000110,心築身心診所,臺北市士林區劍潭路28號1樓、30號1樓,02-2885-6572
8,63000110,張國榮身心診所,臺北市士林區德行東路179號(1樓),02-28382222
9,63000060,夏凱納生活診所,臺北市大同區五原路15號、19號2樓,02-25558313
10,63000060,中山抱抱心身醫學診所,臺北市大同區承德路1段105號5樓,02-25590381
11,63000030,怡心診所,臺北市大安區大安路1段169巷7號1樓,02-27070112
12,63000030,林青穀家庭醫學科診所,臺北市大安區大安路1段2之1號,02-227317557
13,63000030,大安身心診所,臺北市大安區和平東路2段18之8號1樓,02-23658680
14,63000030,伯特利敦南身心診所,臺北市大安區和平東路3段1巷51號2樓,02-2701-0622
15,63000030,晴天身心診所,"臺北市大安區延吉街	135之3號2樓",02-87716545
16,63000030,自體心理診所,臺北市大安區延吉街153之9號3樓,02-27754121
17,63000030,大心診所,臺北市大安區忠孝東路4段205巷7弄13號2樓、153號6樓,02-27718821
18,63000030,向陽身心診所,臺北市大安區忠孝東路4段218之2號2樓,02-87713000
19,63000030,杏語心靈診所,臺北市大安區忠孝東路4段71之23號,02-27751526
20,63000030,光能身心診所,臺北市大安區忠孝東路四段15號8樓,02-27214322
21,63000030,中心診所醫療財團法人中心綜合醫院,臺北市大安區忠孝東路四段７７號,02-27510221
22,63000030,交感身心診所,臺北市大安區信義路4段143號4樓,02-77306840
23,63000030,振芝映煦心身醫學診所,臺北市大安區信義路4段341號8樓之1,02-27030082
24,63000030,尹書田醫療財團法人書田泌尿科眼科診所,臺北市大安區建國南路2段276號1樓、2樓、4樓、4樓之1、B1、B1之1、278號1樓,02-23690211
25,63000030,捷思身心醫學診所,臺北市大安區復興南路2段236號12樓之3,02-23221739
26,63000030,宇寧身心診所,臺北市大安區復興南路2段6號3樓,02-27080706
27,63000030,馨思診所,臺北市大安區羅斯福路2段41號7樓之1,02-3393-3369
28,63000030,主愛心靈診所,臺北市大安區羅斯福路3段269巷39號1樓,02-23651224
29,63000030,公館得心身醫學診所,臺北市大安區羅斯福路3段281號3樓之1、3樓之2,02-23681515
30,63000050,微煦心靈診所,臺北市中山區中山北路二段39巷6號2樓之1,02-25312626
31,63000050,澄心診所,臺北市中山區中山北路二段82號2樓,02-25230480
32,63000050,黃偉俐診所,臺北市中山區天津街37號2樓,02-25114123
33,63000050,進安身心診所,臺北市中山區北安路593號、593號地下,02-25330726
