十碼章,醫院名稱,縣市別,行政區,地址,連絡電話
3501011199,民生翁耳鼻喉科診所,63000,松山區,臺北市松山區民生東路5段78號,(02)27625922
350102H071,家齡診所,63000,大安區,臺北市大安區敦化南路1段191號地下之9至19、地下之88,(02)27211256
3501093940,大同耳鼻喉科診所,63000,大同區,臺北市大同區重慶北路3段250之3、250之4號,(02)25975833
350102G798,逸林診所,63000,大安區,臺北市大安區信義路4段109之2號,(02)27006896
3501015035,安兒康小兒專科診所,63000,松山區,臺北市松山區敦化路118號,(02)77287688
3501015240,宥全診所,63000,松山區,臺北市松山區民生東路5段216號,(02)27678225
0101090517A,臺北市立聯合醫院仁愛院區,63000,大安區,臺北市大安區仁愛路4段10號,(02)27093600
0101090517B,臺北市立聯合醫院中興院區,63000,大同區,臺北市大同區鄭州路１４５號,(02)25523234
0101090517C,臺北市立聯合醫院昆明院區,63000,萬華區,臺北市萬華區昆明街100號,(02)23703739
0101090517D,臺北市立聯合醫院忠孝院區,63000,南港區,臺北市南港區同德路８７號,(02)27861288
0101090517E,臺北市立聯合醫院陽明院區,63000,士林區,臺北市士林區雨聲街105號,(02)28353456
0101090517F,臺北市立聯合醫院松德院區,63000,信義區,臺北市信義區松德路３０９號,(02)27263141
0101090517G,臺北市立聯合醫院和平婦幼院區,63000,中正區,臺北市中正區中華路２段３３號,(02)23889595
0101090517H,臺北市立聯合醫院林森中醫昆明院區,63000,中山區,臺北市中山區林森北路530號,(02)25916681
401020013,國立臺灣大學醫學院附設醫院癌醫中心分院,63000,大安區,臺北市大安區基隆路3段155巷57號,(02)23220322
401180014,國立臺灣大學醫學院附設醫院,63000,中正區,臺北市中正區中山南路７號,(02)23123456
401190010,國立臺灣大學醫學院附設醫院北護分院,63000,萬華區,臺北市萬華區康定路３７號,(02)23717101
501010019,三軍總醫院松山分院附設民眾診療服務處,63000,松山區,臺北市松山區健康路１３１號,(02)27656673
501110514,三軍總醫院附設民眾診療服務處,63000,內湖區,臺北市內湖區成功路2段325號,(02)87927044
501160014,三軍總醫院北投分院附設民眾診療服務處,63000,北投區,臺北市北投區新民路６０號中和街２５０號,(02)28959808
701160518,臺北市立關渡醫院-委託臺北榮民總醫院經營,63000,北投區,臺北市北投區知行路２２５巷１２號,(02)28587177
901020013,中山醫療社團法人中山醫院,63000,大安區,臺北市大安區仁愛路４段１１２巷１１號,(02)27081166
901180023,郵政醫院(委託中英醫療社團法人經營),63000,中正區,臺北市中正區福州街１４號,(02)23956755
901190010,西園醫療社團法人西園醫院,63000,萬華區,臺北市萬華區西園路２段189號,(02)23076968
1301110511,中國醫藥大學附設醫院臺北分院,63000,內湖區,臺北市內湖區內湖路二段360號,(02)27919696
1301170017,臺北醫學大學附設醫院,63000,信義區,臺北市信義區吳興街252號,(02)27372181
1301200010,臺北市立萬芳醫院-委託臺北醫學大學辦理,63000,文山區,臺北市文山區興隆路３段１１１號,(02)29307930
601160016,臺北榮民總醫院,63000,北投區,臺北市北投區石牌路２段２０１號,(02)28757437
1101010012,長庚醫療財團法人臺北長庚紀念醫院,63000,松山區,臺北市松山區敦化北路１９９號,(02)27135211
1101010021,基督復臨安息日會醫療財團法人臺安醫院,63000,松山區,臺北市松山區八德路２段４２４號,(02)27718151
1101020018,國泰醫療財團法人國泰綜合醫院,63000,大安區,臺北市大安區仁愛路４段２８０號,(02)27082121
1101020027,中心診所醫療財團法人中心綜合醫院,63000,大安區,臺北市大安區忠孝東路４段７７號,(02)27510221
1101020036,宏恩醫療財團法人宏恩綜合醫院,63000,大安區,臺北市大安區仁愛路４段７１巷１號,(02)27713161
1101100011,臺灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,63000,中山區,臺北市中山區中山北路２段９２號,(02)25433535
1101110026,康寧醫療財團法人康寧醫院,63000,內湖區,臺北市內湖區成功路５段４２０巷２６號,(02)26345500
1101150011,新光醫療財團法人新光吳火獅紀念醫院,63000,士林區,臺北市士林區文昌路９５號,(02)28332211
1101160017,振興醫療財團法人振興醫院,63000,北投區,臺北市北投區振興街４５號,(02)28264400
1101160026,醫療財團法人辜公亮基金會和信治癌中心醫院,63000,北投區,臺北市北投區立德路１２５號,(02)28970011
1401190039,同仁院醫療財團法人萬華醫院,63000,萬華區,臺北市萬華區中華路２段６０６巷６號,(02)23059292
1501010010,博仁綜合醫院,63000,松山區,臺北市松山區光復北路６６．６８號,(02)25786677
1501100037,協和婦女醫院,63000,中山區,臺北市中山區松江路８５巷５號,(02)25072222
1401190011,財團法人臺灣省私立臺北仁濟院附設仁濟醫院,63000,萬華區,臺北市萬華區廣州街２００．２４３號,(02)23021133
1501201020,景美醫院,63000,文山區,臺北市文山區羅斯福路６段２８０號,(02)29331010
3401171107,聯合報系員工診療所,63000,信義區,臺北市信義區忠孝東路四段559巷1號6樓,(02)27601618
3501011493,車參薇小兒科診所,63000,松山區,臺北市松山區八德路3段195號1樓,(02)25770101
3501012838,閎新耳鼻喉科皮膚科聯合診所,63000,松山區,臺北市松山區八德路三段20之2號,(02)25779898
3501013059,親親家庭診所,63000,松山區,臺北市松山區南京東路5段347號,(02)25283232
3501013068,黎博彥診所,63000,松山區,臺北市松山區民生東路5段230號,(02)27682802
3501013157,大家好診所,63000,松山區,臺北市松山區民生東路4段80巷11弄2號1樓,(02)27138819
3501013282,邱楠超診所,63000,松山區,臺北市松山區延吉街20號1樓,(02)25702296
