序號,行政區域代碼,院所名稱,地址,電話
1,63000010,長庚醫療財團法人台北長庚紀念醫院,臺北市松山區南京東路三段337號5.6.9.10樓,02-2713-5211
2,63000010,基督復臨安息日會醫療財團法人臺安醫院,臺北市松山區八德路二段424號,02-2771-8151
3,63000010,三軍總醫院松山分院附設民眾診療服務處,臺北市松山區健康路131號,02-2764-2151
4,63000010,博仁綜合醫院,臺北市松山區光復北路66號,02-2578-6677
5,63000010,臺北市立聯合醫院附設松山門診部,臺北市松山區八德路四段694號,02-2765-3147
6,63000010,大家好診所,臺北市松山區民生東路四段80巷11弄2號1樓,02-2713-8815
7,63000010,王躬仁診所,臺北市松山區新中街12-3號1樓,02-2764-6685
8,63000010,弘光耳鼻喉科診所,臺北市松山區民生東路四段117號,02-2718-1177
9,63000010,民生翁耳鼻喉科診所,臺北市松山區民生東路五段78號1樓,02-2762-5922
10,63000010,安德聯合診所,臺北市松山區八德路三段34號4樓及12樓,02-2570-5886
11,63000010,江建中診所,臺北市松山區八德路四段285號,02-2764-7883
12,63000010,江崇萍小兒科診所,臺北市松山區南京東路五段251巷24弄27號1樓,02-2763-2260
13,63000010,佑家診所,臺北市松山區八德路三段233號,02-2578-5658
14,63000010,吳慶南內科診所,臺北市松山區民生東路五段138號,02-2765-9566
15,63000010,車參薇小兒科診所,臺北市松山區八德路三段195號１樓,02-2577-0101
16,63000010,林忠志診所,臺北市松山區南京東路五段291巷20弄3-3號,02-2768-9577
17,63000010,邱楠超診所,臺北市松山區延吉街20號1樓,02-2570-2296
18,63000010,宥全診所,臺北市松山區民生東路五段216號1樓,02-2767-8225
19,63000010,康瑞耳鼻喉科診所,臺北市松山區八德路三段154號,02-2578-2522
20,63000010,陳炳堅內科診所,臺北市松山區延壽街327號,02-2763-7199
21,63000010,閎新耳鼻喉科皮膚科聯合診所,臺北市松山區八德路三段20-2號1樓,02-2577-9898
22,63000010,劉內兒科診所,臺北市松山區民生東路五段148號1樓,02-2760-3922
23,63000010,駿昂耳鼻喉科診所,臺北市松山區八德路二段395號1樓,02-8772-8086
24,63000010,畇力診所,臺北市松山區富錦街512號1樓,02-2765-9022
25,63000010,弘宇診所,臺北市松山區民權東路三段160巷2之6號,02-2712-8875
26,63000020,臺北市立聯合醫院松德院區,臺北市信義區松德路309號,02-2726-3141
27,63000020,臺北醫學大學附設醫院,臺北市信義區吳興街252號,02-2737-2181
28,63000020,臺北市立聯合醫院附設信義門診部,臺北市信義區大道路116號1樓,02-8780-4152
