序號,機構名稱,郵遞區號,地址,電話
1,國立臺灣大學醫學院附設醫院兒童醫院,100,台北市中山南路8號,02-2312-3456
2,郵政醫院（委託中英醫療社團法人經營）,100,台北市中正區福州街14號,02-2395-6755
3,國立台灣大學醫學院附設醫院,100,台北市中正區中山南路7號,02 2312 3456
4,臺北市立聯合醫院,103,臺北市鄭州路145號,(02)2555-3000
5,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,104,台北市中山區中山北路二段92號,02 2543 3535
6,台灣基督長老教會馬偕醫療財團法人馬偕兒童醫院,104,台北市中山區中山北路二段92號,(02)2543-3535?
7,博仁綜合醫院,105,台北市松山區光復北路66號,02 2578 6677
8,基督復臨安息日會醫療財團法人臺安醫院,105,台北市松山區八德路二段424號,02-2771-8151
9,長庚醫療財團法人台北長庚紀念醫院,105,台北市松山區南京東路三段337號,02 2713 5211
10,三軍總醫院松山分院附設民眾診療服務處,105,台北市松山區健康路131號,02 2764 2151
11,中山醫療社團法人中山醫院,106,台北市大安區仁愛路四段112巷11號,?02 2708 1166
12,基督復臨安息日會醫療財團法人臺安診所,105,台北市松山區八德路二段424號,02 2771 8151
13,國立臺灣大學醫學院附設醫院癌醫中心分院,106,台北市大安區基隆路三段155巷57號1樓,?02 2322 0322
14,宏恩醫療財團法人宏恩綜合醫院,106,台北市大安區仁愛路四段61號,02 2771 3161
15,中心診所醫療財團法人中心綜合醫院,106,台北市大安區忠孝東路四段77號,02-2751-0221
16,國泰醫療財團法人國泰綜合醫院,106,台北市大安區仁愛路四段280號,02 2708 2121
17,西園醫療社團法人西園醫院,108,台北市萬華區西園路二段270號,?02 2307 6968
18,財團法人台灣省私立台北仁濟院附設仁濟醫院,108,台北市廣州街200、243 號,(02) 2302-1133
19,臺北醫學大學附設醫院,110,臺北醫學大學附設醫院,?02 2737 2181
20,新光醫療財團法人新光吳火獅紀念醫院,116,台北市文山區興隆路三段111號,
21,醫療財團法人辜公亮基金會和信治癌中心醫院,112,台北市北投區立德路125號,02 2897 0011
22,臺北市北投健康管理醫院,112,台北市北投區中和街2號,080 001 5104
23,臺北市立關渡醫院─委託臺北榮民總醫院經營,112,台北市北投區知行路225巷12號,?02 2858 7000
24,臺北榮民總醫院,112,台北市北投區石牌路二段201號,02 2871 2121
25,振興醫療財團法人振興醫院,112,台北市北投區振興街45號,02 2826 4400
26,康寧醫療財團法人康寧醫院,114,台北市內湖區成功路五段420巷26號,02 2634 5500
27,中國醫藥大學附設醫院臺北分院,114,台北市內湖區內湖路二段360號,02-2791-9696
28,三軍總醫院附設民眾診療服務處,114,台北市內湖區成功路二段325號,02-8792-3311
29,臺北市立萬芳醫院-委託臺北醫學大學辦理,116,台北市文山區興隆路三段111號,02-2930-7930
30,景美醫院,116,台北市文山區羅斯福路六段280號,02-2933-1010
