序號,縣市,行政區,郵遞區號,課照中心代碼,課照中心名稱,地址,許可證日期,營業狀態,設立別,電話,負責人,立案狀態,核定人數【人】
1,臺北市,中正區,100,AS10000001,臺北市私立宣宣兒童課後照顧服務中心,臺北市中正區仁愛路1段18巷10號2樓,2013/8/12,已歇業(主管機關應廢止其原設立許可),私立-私人,2395-5158,吳玉雲,立案,20
2,臺北市,中正區,100,AS10000002,臺北市私立高階兒童課後照顧服務中心,臺北市中正區濟南路2段62巷10號1樓,2013/8/12,正常營運,私立-私人,(02)2395-5709,楊靜華,立案,40
3,臺北市,中正區,100,AS10000003,臺北市私立狀元兒童課後照顧服務中心,臺北市中正區信義路1段5之3號1樓,2013/10/21,已歇業(主管機關應廢止其原設立許可),私立-私人,2391-5586,陳寶良,立案,22
4,臺北市,大同區,103,AS10300001,臺北市私立幼群兒童課後照顧服務中心,臺北市大同區太原路115巷19號3樓及21號3樓,2012/11/16,已歇業(主管機關應廢止其原設立許可),私立-私人,2556-4523,何韻萍,立案,43
5,臺北市,大同區,103,AS10300002,臺北市私立吉而斯兒童課後照顧服務中心,臺北市大同區酒泉街135號2樓,2012/12/13,正常營運,私立-私人,(02)2594-0930、2595-4411,黃淑珍,立案,26
6,臺北市,大同區,103,AS10300003,臺北市私立毓馨園兒童課後照顧服務中心,臺北市大同區重慶北路3段152巷35號1至2樓,2013/5/24,已歇業(主管機關應廢止其原設立許可),私立-私人,2585-1626,李佳螢,立案,38
7,臺北市,大同區,103,AS10300004,臺北市私立青青兒童課後照顧服務中心,臺北市大同區民權西路160巷28號2樓,2013/8/19,正常營運,私立-私人,(02)2553-9333,羅秋妍,立案,32
8,臺北市,大同區,103,AS10300005,臺北市私立功文成長兒童課後照顧服務中心,臺北市大同區哈密街59巷83號3至4樓,2013/10/9,已歇業(主管機關應廢止其原設立許可),私立-私人,2594-6008,蔡雪泥,立案,40
9,臺北市,大同區,103,AS10300006,臺北市私立學昱兒童課後照顧服務中心,臺北市大同區承德路2段47號3樓之1,2013/10/25,已歇業(主管機關應廢止其原設立許可),私立-私人,2550-4727、2559-4303,蔡厚祥,立案,35
10,臺北市,大同區,103,AS10300007,臺北市私立阿凡橋兒童課後照顧服務中心,臺北市大同區重慶北路3段257巷5號1、2樓,2013/10/31,正常營運,私立-私人,(02)2592-6840,詹瑩芬,立案,32
11,臺北市,大同區,103,AS10300008,臺北市私立筵恩兒童課後照顧服務中心,臺北市大同區延平北路2段268號1至3樓,2013/10/31,已歇業(主管機關應廢止其原設立許可),私立-私人,2552-0226、2552-0227,蔡雯淑,立案,60
12,臺北市,大同區,103,AS10300010,臺北市私立海格斯兒童課後照顧服務中心,臺北市大同區延平北路2段278號3樓之1,2013/12/10,正常營運,私立-私人,(02)2553-5198、2666-5573,蔡莉莉,立案,40
13,臺北市,大同區,103,AS10300011,臺北市私立海格斯水晶兒童課後照顧服務中心,臺北市大同區寧夏路32號2樓,2014/8/5,已歇業(主管機關應廢止其原設立許可),私立-私人,2558-8587,蔡莉莉,立案,135
14,臺北市,中山區,104,AS10400001,臺北市私立?笛兒童課後照顧服務中心,臺北市中山區吉林路103號2樓,2013/4/8,正常營運,私立-私人,(02)2568-2823,李素滿,立案,33
15,臺北市,中山區,104,AS10400002,臺北市私立惠勝兒童課後照顧服務中心,臺北市中山區農安街77巷1弄48號1樓,2013/5/28,已歇業(主管機關應廢止其原設立許可),私立-私人,2593-2054,林斌,立案,11
16,臺北市,中山區,104,AS10400003,臺北市私立大衛王兒童課後照顧服務中心,臺北市中山區龍江路377巷20之 1號1樓,2013/6/24,已歇業(主管機關應廢止其原設立許可),私立-私人,(02)2502-8169,余筱嵐,立案,24
