序號,主管機關文件代碼,補習班中文名稱,補習班中文住址,電話,立案日期,立案文號,教室數,教室面積,班舍總面積
1,8451,臺北市私立捲耳貓程式設計電腦文理技藝短期補習班大安分班,106大安區復興南路2段84號4樓之1,(02)27086332,2025/2/7,北市教終字第1143000700號,3,69.12,109.26
2,8450,臺北市私立樂讀一百文理短期補習班,116文山區木柵路3段48巷1弄10號1樓,(02)2937-6807,2025/2/4,北市教終字第1143000326號,3,50.74,86.4
3,8449,臺北市私立修格爾舞蹈技藝短期補習班,105松山區南京東路5段52號地下1樓,(02)2748-5388,2025/1/16,北市教終字第1143000028號,2,124.55,228.8
4,8447,何嘉仁文教事業股份有限公司附設臺北市私立佳仁文理短期補習班,111士林區文林路338號7樓之3,(02)28837058,2025/1/3,北市教終字第1133024394號,5,133.58,195.68
5,8448,臺北市私立趙老師文理短期補習班,111士林區天母西路13巷3號2樓,(02)28763389,2025/1/3,北市教終字第1133024418號,3,41.28,83.29
6,8440,臺北市私立雨芯文理短期補習班,105松山區南京東路4段17號3樓,901375158,2024/12/19,北市教終字第1133023146號,4,54.96,124.1
7,8446,竹音文化事業有限公司附設臺北市私立竹音音樂技藝短期補習班,104中山區中山北路2段102號9樓之1,958322986,2025/1/2,北市教終字第1133023116號,2,38.71,80.85
8,8445,陽光森林文教股份有限公司附設臺北市私立陽光森林中正文理短期補習班,100中正區仁愛路2段45號2樓,(02)2351-5329,2025/1/2,北市教終字第1133023914號,3,82.14,184.79
9,8444,金桐股份有限公司附設臺北市私立科見文理短期補習班成功二分班,114內湖區成功路5段460號3樓之2,(02)2631-5979,2024/12/24,北市教終字第1133023969號,4,43.8,99.6
10,8443,臺北市私立奕成教育文理短期補習班,104中山區農安街84號1樓,(02)2586-8583,2024/12/23,北市教終字第1133022641號,3,44.35,84.06
11,8441,臺北市私立菁華資優文理短期補習班,112北投區磺港路8號8樓,(02)28945280,2024/12/23,北市教終字第1133023553號,2,65.92,97.12
12,8442,臺北市私立三希堂文理短期補習班,104中山區農安街86號1樓,(02)25872131,2024/12/20,北市教終字第1133022640號,1,52.27,83.35
13,8438,臺北市私立亣樹文理短期補習班,108萬華區青年路30巷1號1樓、30巷1之2號1樓、30巷1之3號1樓,(02)2337-5275,2024/12/16,北市教終字第1133022428號,6,152.62,184
14,8439,晴文文教事業有限公司附設臺北市私立晴文文理短期補習班,112北投區中央北路1段191號2樓,(02)28939777,2024/12/16,北市教終字第1133023076號,1,64.79,121.48
15,8435,臺北市私立呀呀兒文理技藝短期補習班,103大同區重慶北路3段19號1樓,(02)25952168,2024/12/10,北市教終字第1133022766號,2,38.09,78.93
16,8437,臺北市私立藝起玩文理技藝短期補習班,104中山區民權西路20號6樓之5,937429426,2024/12/6,北市府教終字第1133021553號,2,44.67,81.93
17,8436,陽光森林文教股份有限公司附設臺北市私立陽光森林仁愛文理短期補習班,100中正區仁愛路2段45號1樓,(02)2351-5329,2024/12/4,北市教終字第1133021837號,2,31.35,154.33
18,8427,臺北市私立大縱橫文理短期補習班,103大同區民權西路160巷18弄12號（1樓及夾層）,(02)25520070,2024/11/28,北市教終字第1133021522號,2,42.15,83.72
19,8432,踢帕娛樂股份有限公司附設臺北市私立未來基地舞蹈技藝短期補習班,106大安區仁愛路4段27巷28弄5號地下1樓,(02)27530188,2024/11/27,北市教終字第1133021812號,2,59.8,162.45
20,8425,臺北市私立好學生文理短期補習班忠孝分班,106大安區敦化南路1段190巷40號2樓,(02)27766030,2024/11/27,北市教終字第1133021369號,5,78.89,128.54
21,8434,臺北市私立錡宏文理短期補習班,114內湖區金湖路401巷32號1樓,(02)26341568,2024/11/25,北市教終字第1133020755號,4,54.42,86.12
22,8433,柳吟文教事業股份有限公司附設臺北市私立柳吟文理短期補習班站前分班,100中正區館前路2號2樓,(02)2382-6603,2024/11/25,北市教終字第1133021658號,5,290.57,624.72
23,8431,學宏有限公司附設臺北市私立貝斯汀文理技藝短期補習班,114內湖區康寧路3段16巷28號1樓,(02)-2958-2886,2024/11/22,北市教終字第1133021351號,3,58.77,95.89
24,8429,緯鵬文化股份有限公司附設臺北市私立育鵬文理技藝短期補習班,114內湖區東湖路69號2樓,(02)26333366,2024/11/18,北市教終字第1133020643號,13,263.08,535.45
25,8428,孔孟文化事業有限公司附設臺北市私立孔孟文理短期補習班興隆分班,116文山區興隆路4段132號1樓,0911-220-982,2024/11/18,北市教終字第1133021338號,1,65.38,80.79
26,8430,蜜寶貝教育有限公司附設臺北市私立蜜寶貝文理短期補習班,111士林區忠誠路2段118巷6號1樓,(02)28720288,2024/11/18,北市教終字第1133021107號,2,37.83,95.62
27,8424,臺北市私立米家文理短期補習班,106大安區大安路1段80號6樓,(02)27529777,2024/11/12,北市教終字第1133019678號,2,40.82,152.98
28,8420,學悟處教育科技有限公司附設臺北市私立學悟處一對一科技大樓文理短期補習班,106大安區和平東路2段259號2樓之1,(02)27038101,2024/11/12,北市教終字第1133019829號,4,45.49,94.98
29,8423,兜樂教育有限公司附設臺北市私立兜樂文理技藝短期補習班,111士林區中山北路5段835號1樓,(02)28347025,2024/11/11,北市教終字第 1133019714 號,2,50.87,153.36
30,8426,臺北市私立多佳資優文理短期補習班,114內湖區內湖路1段411巷19弄19號1樓,(02)2627-6001,2024/11/11,北市教終字第1133020364號,4,70.87,93.81
31,8421,臺北市私立華驛文理技藝短期補習班,112北投區大同街19號1樓、19號2樓,(02)28988108,2024/11/7,北市教終字第1133020460號,3,46.18,102.58
32,8422,劉氏文教事業股份有限公司附設臺北市私立劉氏士北文理技藝短期補習班,111士林區中山北路5段687號4樓之1,(02)28348100,2024/11/4,北市教終字第1133019735號,5,91.82,191.8
33,8419,騰亮企業有限公司附設臺北市私立曉學堂文理短期補習班短期補習班,111士林區天母東路69巷1之2號1樓,(02)28745191,2024/10/28,北市教終字第1133018217號,5,52.15,113.92
34,8418,孔孟文化事業有限公司附設臺北市私立孔孟文理短期補習班東湖分班,114內湖區東湖路127號2樓,963060659,2024/10/23,北市教終字第1133018593號,1,54.92,88.65
35,8417,臺北市私立文城文理短期補習班港墘分班,114內湖區內湖路1段667巷9號1樓,(02)26270319,2024/10/16,北市教終字第1133018304號,2,62.9,118.61
36,8416,臺北市私立上榜文理短期補習班壹號分班,114內湖區東湖路33巷1號2樓,(02)26335927,2024/10/11,北市教終字第1133016792號,2,58.36,97.47
37,8415,臺北市私立跨時代文理技藝短期補習班,105松山區延壽街376號1樓,928492658,2024/10/1,北市教終字第1133017095號,2,71.88,117.81
