項次,工會屬性,工會名稱,理事長,郵遞區號,通訊地址,聯絡電話
1,職業工會,台北市電影戲劇業職業工會,楊作修,115,臺北市南港區重陽路263巷2號4樓,(02)27888782
2,職業工會,臺北市印刷業職業工會,林有寶,108,臺北市萬華區永福街51巷11號1樓,(02)23313858
3,職業工會,臺北市理燙髮美容業職業工會,紀政信,104,臺北市中山區南京東路1段96號10樓,(02)25651770
4,職業工會,臺北市木工業職業工會,王覺毅,100,臺北市中正區愛國西路9號6樓之2,(02)23832887
5,職業工會,臺北市汽車駕駛員職業工會,廖天聖,114,臺北市內湖區舊宗路二段181巷10號,(02)26599999
6,職業工會,台北市縫紉業職業工會,鍾景裕,103,臺北市大同區南京西路165號2樓,(02)25583911
7,職業工會,台北市皮鞋業職業工會,林傳成,103,臺北市大同區甘州街22號3樓,(02)25536873
8,職業工會,臺北市汽車貨物裝卸業職業工會,張宗揚,103,臺北市大同區迪化街二段151號,(02)25921831
9,職業工會,台北市餐飲業職業工會,林金城,114,臺北市內湖區舊宗路1段18號2樓,(02)27961234
10,職業工會,台北市屠宰業職業工會,陳蓮發,103,臺北市大同區甘州街22號2樓之3,(02)25570131
11,職業工會,台北市派報業職業工會,吳國衡,100,臺北市中正區重慶南路1段99號8樓805室　,(02)23318252
12,職業工會,台北市浴室業職業工會,張永昌,111,臺北市士林區忠誠路2段118巷16之4號2樓,
13,職業工會,台北市皮鞋服務業職業工會,黃子容,108,臺北市萬華區中華路1段16號10樓之2,(02)23316038
14,職業工會,台北市鑲牙齒模承造業職業工會,黃兼盛,100,臺北市中正區和平西路1段84號9樓,(02)23676747
15,職業工會,臺北市汽車修理業職業工會,黃曾根,106,臺北市大安區文昌街280巷47號2樓,(02)27078593
16,職業工會,台北市乳品派送業職業工會,林國樑,116,臺北市文山區光輝路71巷9號1樓,(02)29384963
17,職業工會,台北市按摩業職業工會,盧江葦,104,臺北市中山區林森北路101號11樓之3,(02)21002425
18,職業工會,臺北市電氣裝置業職業工會,黃林彩珠,111,臺北市士林區重慶北路4段81號4樓之1,(02)28126623
19,職業工會,台北市鐘錶眼鏡業職業工會,林政良,100,臺北市中正區愛國西路9號4樓之8,(02)23144996
20,職業工會,臺北市音樂業職業工會,郭建澎,103,臺北市大同區延平北路1段22號3樓之3,(02)25559880
