序號,機構名稱,統一編號,負責人,電話,手機,聯絡人,回收貯存場所地址,應回收廢棄物回收項目,一般廢棄物回收項目
1,經益企業社,98884032,涂乃宇,(02)23062339,0922384757,涂先生,中正區西藏路114號,廢鋁容器、廢鐵容器、廢資訊物品、廢電子電器、廢乾電池,廢鋁、廢鐵
2,大專環保科技有限公司,80110269,涂航宇,(02)23062339,0922384757,涂先生,中正區西藏路110號,廢塑膠容器,廢紙
3,慈濟功德會(中正萬華環保教育站),,李英杰,,0937890240,李先生,萬華區艋舺大道466號,廢電子電器,廢紙
4,宜泰利環保工程有限公司,16304113,陳建廷,(02)25857608,0936361228,,大同區敦煌路27之3號,廢塑膠容器、廢鋁容器、廢鐵容器、廢資訊物品、廢電子電器、廢乾電池、廢照明光源,廢紙、廢鋁、廢鐵
5,易進商行,48864454,施啟明,(02)25967665,0933165478,,大同區敦煌路21巷3號,廢塑膠容器、廢鋁容器、廢鐵容器、廢資訊物品、廢電子電器、廢乾電池、廢照明光源、廢紙容器,廢紙、廢鋁、廢鐵
6,綠大地環保科技有限公司,54656757,李建宏,(02)25996536,,,大同區大龍街158號,廢塑膠容器、廢鋁容器、廢鐵容器、廢資訊物品、廢電子電器、廢乾電池、廢照明光源,廢紙、廢鋁、廢鐵
7,主恩環保有限公司,50864803,吳漢淞 ,,0922569100,,大同區涼州街1之5號,廢塑膠容器、廢鋁容器、廢鐵容器、廢資訊物品、廢電子電器、廢乾電池,廢紙、廢鋁、廢鐵
8,成林商行,88294732,洪採滿,,0916134288,林先生,大同區錦西街52巷15號對面,廢塑膠容器、廢鋁容器、廢鐵容器、廢資訊物品、廢電子電器、廢乾電池,廢紙、廢鋁、廢鐵
9,慈濟功德會(大同站),,陳順池,(02)25851001,0912918449,陳先生,大同區延平北路4段237號,廢塑膠容器、廢鋁容器、廢鐵容器、廢資訊物品、廢電子電器,廢紙、廢鋁、廢鐵
10,"印北實業有限公司
【北市廢回收登字第007號】",97244283,周吟雪,(02)25010667,0920507223,蔡小姐,中山區濱江街346號,廢機動車輛、廢輪胎,
11,有立興業有限公司,89476529,林燕玲,(02)25210381,0910217313,趙先生,中山區新生北路1段25-2號,廢塑膠容器、廢鋁容器、廢鐵容器、廢資訊物品、廢電子電器,廢紙、廢鋁、廢鐵
12,利泰資源回收場,29210568,吳展廣,(02)25020619,0916206201,吳先生,中山區松江路609號1樓,廢塑膠容器、廢鋁容器、廢鐵容器、廢資訊物品、廢電子電器、廢乾電池、廢照明光源,廢紙、廢鋁、廢鐵
13,守威企業有限公司(民族站),22196817,林志憲,(02)25031271,,,中山區民族東路153號1樓,廢塑膠容器、廢鋁容器、廢鐵容器、廢資訊物品、廢電子電器、廢乾電池,廢紙、廢鋁、廢鐵
14, 守威企業有限公司 ,22196817,郭陰和,(02)25013955,0921118539,郭先生,中山區濱江街154巷4號,廢鋁容器、廢鐵容器、廢資訊物品、廢電子電器,廢鋁、廢鐵
15,吉誼金屬工業有限公司,86477708,侯賀仁,(02)25099212,0937836806,侯先生,中山區濱江街353之2號,廢鋁容器、廢鐵容器,廢鋁、廢鐵
16,三發商行,10375792,林大鈞,(02)25953925,0918834456,,中山區德惠街167巷8號1樓,廢塑膠容器、廢鐵容器、廢鋁容器、廢資訊物品、廢電子電器、廢乾電池,廢紙、廢鐵、廢鋁
17,三立先鋒國際有限公司,53693065,張馨文 ,(02)25025656,0926705127,,中山區濱江街336號,廢塑膠容器、廢鋁容器、廢鐵容器、廢資訊物品、廢電子電器、廢乾電池、廢照明光源、廢紙容器,廢紙、廢鋁、廢鐵
18,慈濟功德會(中山站),,蕭秀珠,(02)27417348,,,中山區八德路2段118號,廢塑膠容器、廢鋁容器、廢鐵容器、廢資訊物品、廢電子電器、廢乾電池、廢照明光源,廢紙、廢鋁、廢鐵
19,時鑫商行,29239404,郭時祿,(02)25115852,0926675902,,中山區新生北路2段55巷3弄3號,廢塑膠容器、廢鐵容器、廢電子電器,廢紙、廢鐵
20,宏大弘有限公司,52359458,黃秋貴,(02)27562758,0958812975,黃小姐,松山區撫遠街409號,廢紙容器、廢塑膠容器、廢鋁容器、廢鐵容器、廢資訊物品、廢電子電器,廢紙、廢鋁、廢鐵
21,翊有企業有限公司,23154786,趙東正,(02)27685219,0953936835,,松山區塔悠路189號,廢塑膠容器、廢鋁容器、廢鐵容器、廢資訊物品、廢電子電器、廢照明光源、廢紙容器,廢紙、廢鋁、廢鐵
22,南康開發企業有限公司,23633013, 陳桂蘭 ,(02)27604729 ,0952125476,,松山區濱江街863號,廢資訊物品、廢電子電器、廢照明光源、廢鉛蓄電池,廢鐵
23,安扁廢棄物清理有限公司,70536982,詹勝雄,,0926788337,,大安區松山區撫遠街411號,廢塑膠容器、廢鋁容器、廢鐵容器、廢照明光源,廢紙、廢鋁、廢鐵
24,慈濟功德會(松山環保教育站),,張福榮,,0932300921,,松山區撫遠街417號,廢塑膠容器,廢紙
25,昶昌實業有限公司(大安站),12856682,方美隆,(02)27054480,0916264851,,大安區文昌街280巷49號,廢塑膠容器、廢鋁容器、廢鐵容器、廢資訊物品、廢電子電器、廢乾電池,廢紙、廢鋁、廢鐵
26,龍樺環保有限公司,25140561,蘇冠旭,(02)27326688,0935604321,,大安區和平東路3段606巷13號對面,廢塑膠容器、廢鋁容器、廢鐵容器、廢資訊物品、廢電子電器、廢乾電池、廢紙容器,廢紙、廢鋁、廢鐵
27,氣運企業有限公司,12267643,陳炎仁,,0918274770,,大安區市民大道3段210號,廢塑膠容器、廢鐵容器,廢紙、廢鐵
28,友源資源科技公司,80675603,吳貴源,(02)27078839,0935041122,,大安區通化街19巷26號,廢塑膠容器、廢鋁容器、廢鐵容器、廢資訊物品、廢電子電器、廢乾電池、廢照明光源,廢紙、廢鋁、廢鐵
29,祥億鋒有限公司,12865937,王嘉祥,(02)27332141,0919950495,,大安區臥龍街151巷6號,廢鋁容器、廢鐵容器、廢資訊物品、廢電子電器、廢乾電池,廢鋁、廢鐵
30,生耀企業社,21764713,蘇朝耀,(02)27359655,0932380241,,大安區和平東路3段632巷2號,廢塑膠容器、廢鋁容器、廢鐵容器、廢資訊物品、廢電子電器、廢乾電池、廢照明光源、廢紙容器,廢紙、廢鋁、廢鐵
31,慈濟功德會(大安站),94800552,陳新發,(02)27353999,0921850795,高先生,大安區臥龍街206號,廢塑膠容器、廢鋁容器、廢鐵容器、廢資訊物品、廢電子電器、廢乾電池,廢紙、廢鋁、廢鐵
32,勝豐實業行營業所,10322254,陳謝雪梅,(02)23772236,0933154848,,信義區和平東路3段575巷8號,廢塑膠容器、廢鋁容器、廢鐵容器、廢資訊物品、廢電子電器、廢照明光源、廢紙容器,廢紙、廢鋁、廢鐵
33,新浤海企業社,25523933,蘇朝賢,(02)27353715,0953234007,蘇小姐,信義區和平東路3段627巷口,廢塑膠容器、廢電子電器、廢資訊物品、廢鐵容器、廢鋁容器、廢紙容器,廢紙、廢鐵
34,慈濟功德會(信義站),,"黃鎮南
劉師兄",(02)27271765,"0937540187
",,信義區虎林街212巷22號,廢塑膠容器、廢鋁容器、廢鐵容器、廢資訊物品、廢電子電器、廢乾電池、廢照明光源,廢紙、廢鋁、廢鐵
35,慈濟功德會(信義吳興環保教育站),94800552,張素禎,(02)27209087,,,信義區松仁路315巷14號1樓,"廢塑膠容器、廢鋁容器、廢鐵容器、廢資訊物品、
廢電子電器、廢紙容器",廢紙、廢鋁、廢鐵
36,"原裕汽車企業有限公司
【北市廢回收登字第011號】",70448263,林季蓉,(02)28102483,0918151979,許小姐,士林區延平北路8段20號,廢機動車輛、廢鉛蓄電池,
37,劍潭王商行,29216401,王俊卿,(02)28855544,0939513205,,士林區通河街2巷24號,廢塑膠容器、廢鋁容器、廢鐵容器,廢紙、廢鋁、廢鐵
38,亭翰五金行,48971503,李素英,(02)28118218,0977301696,陳先生,士林區通河西街2段9號,廢塑膠容器、廢鐵容器、廢資訊物品、廢電子電器,廢紙、廢鐵
39,金來發企業社,42519998,劉啟瑞,(02)28103978,,,士林區延平北路7段116號,"廢塑膠容器、廢電子電器、廢資訊物品、
廢乾電池、廢照明光源",廢紙、廢鋁、廢鐵
40,鈺潔有限公司,90018874,蕭永豐,(02)28103530,0921700409,,士林區延平北路7段106巷179號,廢塑膠容器、廢鋁容器、廢鐵容器、廢資訊物品、廢電子電器,廢紙
41,全民環保股份有限公司,27355433,曾吉宏,(02)28107609,0937068857,,士林區延平北路8段133巷65號旁,廢塑膠容器、廢鋁容器,廢鋁
42,宏笙環保有限公司,52510525,曾炫文,,0925033689,,士林區延平北路8段133巷65號旁,廢塑膠容器,
43,宜承環保有限公司,28024192,曾吉宏,,0937068857,,士林區延平北路8段133巷65號旁,,廢鋁
44,秉宏環保有限公司,28223283,曾少庭,,0903938737,,士林區延平北路8段133巷65號旁,,廢鐵
45,豐瑋有限公司,28779732,洪沁慈,,0938336558,,士林區延平北路8段133巷65號旁,,廢五金
46,北關企業社,48975536,陳真昌,(02)88611279,0988151246,,士林區華齡街207號,廢塑膠容器、廢鋁容器、廢鐵容器、廢資訊物品、廢電子電器,廢紙、廢鋁、廢鐵
47,環強資源回收有限公司,28183395,曾根斌,,0935550560,,士林區延平北路7段129號,廢塑膠容器、廢鋁容器、廢鐵容器、廢資訊物品、廢電子電器、廢乾電池、廢照明光源,廢紙、廢鋁、廢鐵
48,全民環保轉運一站,27355433,曾吉宏,(02)28107305,0925033689,,士林區延平北路6段116巷7號,廢塑膠容器、廢鋁容器、廢鐵容器,廢紙、廢鋁、廢鐵
49,原漢商行,31881113,白榮富,(02)28135628,0927606288,,士林區葫蘆街66號,廢塑膠容器、廢鋁容器、廢鐵容器、廢資訊物品、廢電子電器、廢乾電池,廢紙、廢鋁、廢鐵
50,金安興環保企業社,10359358,彭三忠,,0928534338,,士林區延平北路8段2巷153弄53之3號,廢照明光源、廢電子電器、廢資訊物品,廢鋁、廢鐵
51,福詮實業股份有限公司,31090408,陳建安,(02)28118814,,,士林區延平北路8段2巷151弄63號斜對面,廢鐵容器、廢鋁容器、廢塑膠容器、廢玻璃容器,廢紙、廢塑膠
52,新象清潔行,15647317,黃旗坤,,0937081311,黃小姐,士林區延平北路7段176巷130號,廢鐵容器、廢鋁容器、廢紙容器、廢玻璃容器、廢塑膠容器、廢乾電池、廢鉛蓄電池、廢照明光源、廢電子電器、廢資訊物品,廢鐵、廢鋁、廢紙、廢玻璃、廢塑膠
53,九創企業社,87470957, 鄭淨之,,0960766863,,士林區延平北路9段237巷3弄15號旁,廢資訊物品、廢電子電器,廢鐵、廢鋁、廢銅
54,榮昇環保資源有限公司,27441944,池愛水,,0927287051,馬偉民,士林區延平北路8段2巷8號,廢電子電器、廢資訊物品、廢照明光源,
