序號,機構名稱,縣市別代碼,行政區域代碼,地址
1,懷寧復健科診所,63000,63000050,臺北市中正區懷寧街110號1樓、7樓
2,國軍台北門診中心附設民眾診療服務處,63000,63000050,臺北市中正區紹興南街7號
3,久瑞復健科診所,63000,63000050,台北市中正區仁愛路二段21號
4,古亭適康復健科診所,63000,63000050,台北市中正區南昌路二段
5,古亭復健診所,63000,63000050,台北市中正區羅斯福路三段162號一樓
6,醫療財團法人徐元智先生醫藥基金會遠東聯合診所,63000,63000050,台北市中正區永綏街8-14號
7,久瑞復健科診所,63000,63000050,台北市中正區仁愛路二段21號
8,國軍台北門診中心附設民眾診療服務處,63000,63000050,臺北市中正區紹興南街7號
9,郵政醫院（委託中英醫療社團法人經營）,63000,63000050,台北市中正區福州街14號
10,國立臺灣大學醫學院附設醫院兒童醫院,63000,63000050,台北市中正區中山南路8號
11,國立台灣大學醫學院附設醫院,63000,63000050,台北市中正區常德街1號
12,臺北市立聯合醫院,63000,63000060,臺北市大同區鄭州路145號
13,懷寧復健科診所,63000,63000050,台北市中正區懷寧街110號
14,虹約復健專科診所,63000,63000050,台北市中正區信義路二段91號2樓之2
15,惠森復健科診所,63000,63000050,台北市中正區師大路172號
16,宜康復健科診所,63000,63000050,台北市中正區師大路172號
17,新旅程復健科診所,63000,63000060,台北市大同區民權西路237- 9號237之7號
18,臺北市立聯合醫院附設大同門診部,63000,63000060,台北市大同區昌吉街52號
19,中山適康復健科診所,63000,63000040,台北市中山區龍江路268號
20,耘康復健科診所,63000,63000040,台北市中山區復興北路402巷8弄2號
21,睦霖復健科診所,63000,63000040,台北市中山區松江路274號2樓
22,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,63000,63000040,台北市中山區中山北路二段92號
23,台灣基督長老教會馬偕醫療財團法人馬偕兒童醫院,63000,63000040,台北市中山區中山北路二段92號
24,宇康復健科診所,63000,63000040,台北市中山區長春路368號2樓
25,大直復健科診所,63000,63000040,台北市中山區北安路630巷25弄16號
26,施宏男復健科診所,63000,63000040,台北市中山區松江路158號3樓
27,興安診所,63000,63000040,臺北市中山區民生東路3段90號2樓、90號2樓之3
28,旭恩復健科診所,63000,63000040,臺北市中山區復興北路38號2樓
29,禾宇復健科診所,63000,63000040,台北市中山區龍江路356巷79號
30,景?復健科診所,63000,63000040,台北市中山區北安路595巷1號B1
31,安康復健科診所,63000,63000040,台北市中山區松江路54號
32,耘康復健科診所,63000,63000040,台北市中山區復興北路402巷8弄2號
33,中山適康復健科診所,63000,63000040,台北市中山區龍江路268號
34,周適偉診所,63000,63000010,台北市松山區復興北路69號7樓
35,生昇復健專科診所,63000,63000010,台北市松山區三民路39號
36,悠適復健科診所,63000,63000010,台北市松山區光復北路11巷65號
37,康健診所,63000,63000010,臺北市松山區延吉街9之4號(1樓)及11號2樓
38,三軍總醫院松山分院附設民眾診療服務處,63000,63000010,台北市松山區健康路131號
39,長庚醫療財團法人台北長庚紀念醫院,63000,63000010,台北市松山區敦化北路 199 號
40,基督復臨安息日會醫療財團法人臺安醫院,63000,63000010,台北市松山區八德路二段424號
41,博仁綜合醫院,63000,63000010,台北市松山區光復北路66號
42,正風復健科診所,63000,63000010,台北市松山區光復北路135號
43,宇恩復健科診所,63000,63000010,臺北市松山區民權東路3段140巷15號3樓
44,松原復健診所,63000,63000010,台北市松山區光復北路206號
45,安德復復健專科診所,63000,63000010,台北市松山區光復北路181號
46,尹書田醫療財團法人書田泌尿科眼科診所,63000,63000030,台北市大安區建國南路二段276號
47,宜德復健科診所,63000,63000030,台北市大安區和平東路三段210號
48,杏誠復健科診所,63000,63000030,台北市大安區信義路四段173號2樓
49,達仁診所,63000,63000030,台北市大安區信義路二段208號
50,輝馥復健專科診所,63000,63000030,台北市大安區忠孝東路四段218-5號2樓
51,超越復健診所,63000,63000030,台北市大安區羅斯福路二段81巷1號4樓
52,欣昇復健科診所,63000,63000030,台北市大安區復興南路一段283號
53,樂活診所,63000,63000030,台北市大安區師大路12號
54,宏康復健專科診所,63000,63000030,台北市大安區信義路四段134號1樓
55,立澄診所,63000,63000030,台北市大安區忠孝東路三段259號3樓
56,聯新國際診所,63000,63000030,台北市大安區仁愛路四段77號3樓
57,適群診所,63000,63000030,台北市大安區四維路198巷32號
58,永誠復健科診所,63000,63000030,台北市大安區復興南路二段236號2樓
59,仁生復健科診所,63000,63000030,台北市大安區信義路四段265巷17號
60,國立臺灣大學醫學院附設醫院癌醫中心分院,63000,63000030,台北市大安區基隆路三段155巷57號1樓
61,中山醫療社團法人中山醫院,63000,63000030,台北市大安區仁愛路四段112巷11號
62,國泰醫療財團法人國泰綜合醫院,63000,63000030,台北市大安區仁愛路四段280號
63,中心診所醫療財團法人中心綜合醫院,63000,63000030,台北市大安區忠孝東路四段77號
64,宏恩醫療財團法人宏恩綜合醫院,63000,63000030,台北市大安區仁愛路四段61號
65,啟誠聯合診所,63000,63000030,台北市大安區和平東路二段120號
66,適健復健科診所,63000,63000030,台北市大安區忠孝東路四段166號8樓
67,家安復健科診所,63000,63000030,臺北市大安區敦化南路2段168及170號地下1樓
68,宜德復健科診所,63000,63000030,台北市大安區和平東路三段210號
69,尹書田醫療財團法人書田泌尿科眼科診所,63000,63000030,台北市大安區建國南路二段276號
70,松柏復健科診所,63000,63000071,臺北市萬華區中華路二段426-1號
71,永康診所,63000,63000071,台北市萬華區桂林路47號
72,博昌復健科診所,63000,63000071,台北市萬華區萬大路221號
73,瑞生診所,63000,63000071,台北市萬華區西園路二段250號
74,同仁院醫療財團法人貴陽診所,63000,63000071,台北市萬華區昆明街169號1樓
75,國立臺灣大學醫學院附設醫院北護分院,63000,63000071,台北市萬華區內江街87號
76,西園醫療社團法人西園醫院,63000,63000071,台北市萬華區西園路二段270號
77,財團法人台灣省私立台北仁濟院附設仁濟醫院,63000,63000071,台北市萬華區廣州街200、243 號
78,同仁院醫療財團法人萬華醫院,63000,63000071,台北市萬華區中華路二段606巷6號
79,永康診所,63000,63000071,台北市萬華區桂林路47號
80,臺北醫學大學附設醫院,63000,63000020,台北市信義區吳興街252號
81,日康復健科診所,63000,63000020,台北市信義區中坡南路16號
82,張育驍診所,63000,63000020,台北市信義區吳興街467巷2弄6號
83,正興復健科診所,63000,63000020,台北市信義區永吉路344號
84,興雅診所,63000,63000020,臺北市信義區忠孝東路5段71巷19號
85,新詠康診所,63000,63000020,臺北市信義區忠孝東路5段242號3樓﹑244號3樓
86,順康復健科診所,63000,63000020,台北市信義區莊敬路364號
87,原力復健科診所,63000,63000020,台北市信義區基隆路二段145號1樓
88,信義適康復健科診所,63000,63000020,台北市信義區光復南路439號
89,杏仁復健科診所,63000,63000020,台北市信義區永吉路227號
90,新光醫療財團法人新光吳火獅紀念醫院,63000,63000110,台北市士林區文昌路95號
91,立安復健科診所,63000,63000110,台北市士林區大東路130號
92,永安診所,63000,63000110,台北市士林區中山北路六段405巷63號
93,天母品恆復健科診所,63000,63000110,台北市士林區忠誠路一段137號
94,佑康診所,63000,63000110,台北市士林區通河街100號
95,士林復健科診所,63000,63000110,台北市士林區文林路497號
96,三玉品恆復健科診所,63000,63000110,台北市士林區天母東路53號
97,朝陽復健科診所,63000,63000110,台北市士林區中山北路五段699巷2號
98,臺北榮民總醫院,63000,63000120,台北市北投區石牌路二段201號
99,臺北市立關渡醫院─委託臺北榮民總醫院經營,63000,63000120,台北市北投區知行路225巷12號
100,振興醫療財團法人振興醫院,63000,63000120,台北市北投區振興街45號
101,醫療財團法人辜公亮基金會和信治癌中心醫院,63000,63000120,台北市北投區立德路125號
102,臺北市立聯合醫院附設北投門診部,63000,63000120,台北市北投區新市街30號5樓
103,余世仁復健科診所,63000,63000120,台北市北投區中央北路一段10號
104,祐民聯合診所,63000,63000120,台北市北投區中央南路一段207號
105,如翊健康診所,63000,63000120,台北市北投區天母西路128號
106,旭康復健科診所,63000,63000120,台北市北投區石牌路一段40號
107,臻心復健科診所,63000,63000120,台北市北投區東華街一段370號1樓
108,天母力康診所,63000,63000120,台北市北投區明德路365號3樓
109,石牌實和復健診所,63000,63000120,台北市北投區文林北路262號一樓
110,三軍總醫院附設民眾診療服務處,63000,63000100,台北市內湖區成功路二段325號
111,康寧醫療財團法人康寧醫院,63000,63000100,台北市內湖區成功路五段420巷26號
112,中國醫藥大學附設醫院臺北分院,63000,63000100,台北市內湖區內湖路二段360號
113,德文復健科診所,63000,63000100,台北市內湖區成功路四段36號2樓
114,弘康復健科診所,63000,63000100,台北市內湖區成功路五段81號
115,成功復健科診所,63000,63000100,台北市內湖區成功路三段164號
116,祐生復健科診所,63000,63000100,台北市內湖區康寧路三段54-11號
117,紫陽復健科診所,63000,63000100,台北市內湖區文德路208巷8號1樓
118,富康復健科診所,63000,63000100,台北市內湖區東湖路113巷15號
119,適康復健科診所,63000,63000100,台北市內湖區文德路141號、143號
120,恆新復健科診所,63000,63000100,台北市內湖區瑞光路337號7樓
121,紫陽診所,63000,63000100,台北市內湖區內湖路一段118號3樓
122,力康復健科診所,63000,63000100,臺北市內湖區內湖路1段358號2樓
123,國泰醫療財團法人內湖國泰診所,63000,63000100,台北市內湖區瑞光路337號
124,興盛診所,63000,63000090,台北市南港區永吉路546、551號
125,南港復健科診所,63000,63000090,台北市南港區南港路一段172號
126,臺北市立萬芳醫院-委託臺北醫學大學辦理,63000,63000082,台北市文山區興隆路三段111號
127,景美醫院,63000,63000082,台北市文山區羅斯福路六段280號
128,晉康復健科診所,63000,63000082,台北市文山區興隆路二段228之1號
129,春林復健科診所,63000,63000082,台北市文山區木新路三段229號
130,興隆診所,63000,63000082,台北市文山區興隆路三段112巷9號
131,文山復健科診所,63000,63000082,台北市文山區興隆路三段207號之5號
132,合康復健科診所,63000,63000082,台北市文山區興隆路四段217號
134,萬隆力康復健科診所,63000,63000082,台北市文山區羅斯福路五段127號2樓
