行政區,院所,機構類別,院所名稱,地址,電話,語音預約
63000010,醫院,醫學中心,長庚醫療財團法人台北長庚紀念醫院,臺北市松山區敦化北路199號,(02)27135211,
63000010,醫院,區域醫院,基督復臨安息日會醫療財團法人臺安醫院,臺北市松山區八德路二段424號,(02)27718151,
63000010,醫院,區域醫院,三軍總醫院松山分院附設民眾診療服務處,臺北市松山區健康路131號,(02)27642151,
63000010,醫院,地區醫院,博仁綜合醫院,臺北市松山區光復北路66號,(02)25786677,
63000010,診所,門診部,臺北市立聯合醫院附設松山門診部,臺北市松山區八德路四段694號,(02)27653147,
63000010,診所,基層診所,安兒康小兒專科診所,臺北市松山區敦化北路118號1樓,(02)77287688,
63000010,診所,基層診所,江崇萍小兒科診所,臺北市松山區南京東路五段251巷24弄27號1樓,(02)27632260,
63000010,診所,基層診所,佑家診所,臺北市松山區八德路三段233號,(02)25785658,
63000010,診所,基層診所,車參薇小兒科診所,臺北市松山區八德路三段195號１樓,(02)25770101,
63000010,診所,基層診所,詹前俊小兒科診所,臺北市松山區民生東路五段105號1樓,(02)27653039,
63000010,診所,基層診所,悅昇小兒科診所,臺北市松山區民生東路三段101號2樓,(02)27125977,
63000020,醫院,區域醫院,臺北醫學大學附設醫院,臺北市信義區吳興街252號,(02)27372181,
63000020,診所,門診部,臺北市立聯合醫院附設信義門診部,臺北市信義區大道路116號1樓,(02)87804152,
63000020,診所,基層診所,明輝診所,臺北市信義區松隆路282-3號,(02)87871235,
63000020,診所,基層診所,林應然小兒科診所,臺北市信義區福德街75號,(02)27595328,
63000020,診所,基層診所,長風小兒科診所,臺北市信義區莊敬路351號,(02)27227943,
63000020,診所,基層診所,信義邱婦產科,臺北市信義區虎林街198號,(02)27278275,
63000020,診所,基層診所,張育驍診所,臺北市信義區吳興街467巷2弄6號1樓,(02)27296611,
63000020,診所,基層診所,黃啟彰診所,臺北市信義區松山路261-1號,(02)27696218,
63000030,醫院,醫學中心,國泰醫療財團法人國泰綜合醫院,臺北市大安區仁愛路四段280號,(02)27082121,
63000030,醫院,區域-院區,臺北市立聯合醫院仁愛院區,臺北市大安區仁愛路四段10號,(02)27093600,
63000030,醫院,地區醫院,中山醫療社團法人中山醫院,臺北市大安區仁愛路四段112巷11號,(02)27081166,
63000030,診所,門診部,臺北市立聯合醫院附設大安門診部,臺北市大安區辛亥路三段15號1樓,(02)27390997,
63000030,診所,基層診所,小禾馨小兒專科診所,臺北市大安區新生南路三段4號1樓,(02)23698833,
63000030,診所,基層診所,尹書田醫療財團法人書田泌尿科眼科診所,臺北市大安區建國南路二段276號,(02)23690211,
63000030,診所,基層診所,禾馨新生婦幼診所,臺北市大安區新生南路三段2號,(02)23682333,
63000030,診所,基層診所,全家聯合診所,臺北市大安區和平東路二段353號,(02)27067575,
63000030,診所,基層診所,那明珠診所,臺北市大安區和平東路三段8號,(02)27360589,
63000030,診所,基層診所,松德診所,臺北市大安區四維路170巷16號1樓,(02)27073326,
63000030,診所,基層診所,家齡診所,臺北市大安區敦化南路一段191號B1,(02)27211258,
63000030,診所,基層診所,健華診所,臺北市大安區和平東路二段299號,(02)27072990,
