項次,行政區域代碼,牙科醫療院所,地址,電話
1,63000010,李玉閣牙醫診所,臺北市松山區南京東路5段163-3號3樓,(02)27688705
2,63000010,群益牙醫診所,臺北市松山區光復北路123號,(02)27672344
3,63000010,長島牙醫診所,臺北市松山區民生東路5段90號1樓,(02)87871787
4,63000010,慶城牙醫診所,臺北市松山區長春路480號1樓,(02)25450728
5,63000010,康和牙醫診所,臺北市松山區八德路三段241號,(02)25783338
6,63000010,鉑金牙醫聯合診所,臺北市松山區八德路三段164號,(02)25779550
7,63000010,揚登牙醫診所,臺北市松山區南京東路5段250巷9-3號1樓,(02)27467427
8,63000010,三軍總醫院松山分院附設民眾診療服務處,臺北市松山區健康路131號,(02)27642151
9,63000010,維一牙醫診所,臺北市松山區民生東路五段188號,(02)27673569
10,63000010,松展牙醫診所,臺北市松山區三民路8號,(02)27487583
11,63000010,元榜牙醫診所,臺北市松山區民生東路4段88號1樓,(02)27162512
12,63000010,南加州牙醫診所,臺北市松山區敦化南路1段69號2樓,(02)25776300
13,63000010,正信牙醫診所,臺北市松山區民生東路五段165號之1,(02)27607680
14,63000010,品睿牙醫診所,臺北市松山區民生東路三段113巷25弄6號2樓,(02)27138869
15,63000010,元品牙醫診所,臺北市松山區饒河街198號,(02)27473212
16,63000010,喜樂芽牙醫診所,臺北市松山區八德路四段245巷33號,(02)85092410
17,63000010,蔡嘉倫牙醫診所,臺北市松山區民生東路三段116號3樓,(02)27138800
18,63000020,滕起民牙醫診所,臺北市信義區信義路四段375號3樓,(02)27580131
19,63000020,沐群牙醫診所,臺北市信義區光復南路441號,(02)27202800
20,63000020,韋倫牙醫診所,臺北市信義區信義路6段25號1樓,(02)27285206
21,63000020,臺北醫學大學附設醫院,臺北市信義區吳興街252號,(02)27372181
22,63000020,華信牙醫診所,臺北市信義區基隆路二段131之10號,(02)27375163
23,63000020,聯安牙醫診所,臺北市信義區虎林街32-1號,(02)27695085
24,63000020,雅美信牙醫診所,臺北市信義區忠孝東路5段510之6號1樓,(02)23463757
25,63000020,艾來牙醫診所,臺北市信義區林口街190號,(02)27590016
26,63000020,東群牙醫診所,臺北市信義區永吉路511號,(02)27460503
27,63000020,芳林牙醫診所,臺北市信義區永吉路30巷178弄2號1樓,(02)27641366
28,63000020,豐荷牙醫診所,臺北市信義區忠孝東路五段137號3樓,(02)27640011
29,63000020,御瑄牙醫診所,臺北市信義區莊敬路211號,(02)27585585
30,63000020,明仁牙醫診所,臺北市信義區松山路504號506號,(02)27276872
31,63000030,慧安牙醫診所,臺北市大安區忠孝東路4段75之7號8樓,(02)27773536
32,63000030,中央公園精品牙醫診所,臺北市大安區信義路三段147巷11弄19號,(02)23250199
33,63000030,弘全牙醫診所,臺北市大安區瑞安街280號,(02)27029539
34,63000030,一家牙醫診所,臺北市大安區建國南路2段151巷44號1樓,(02)27030528
35,63000030,中日美聯合牙醫診所,臺北市大安區和平東路3段51號,(02)27002460
36,63000030,八號牙醫診所,臺北市大安區通安街19巷1號,(02)27081227
37,63000030,中山醫療社團法人中山醫院 牙科部,臺北市大安區仁愛路四段112巷12號4樓,(02)27060122
38,63000030,臺北市立聯合醫院仁愛院區,臺北市大安區仁愛路4段10號,(02)27093600
39,63000030,台加牙醫診所,臺北市大安區復興南路二段268號,(02)25771629
40,63000030,亞德牙醫診所,臺北市大安區羅斯福路三段171號3樓,(02)23621177
41,63000030,樂晨牙醫診所,臺北市大安區大安路一段65號2樓,(02)27117648
42,63000030,翔恩牙醫診所,臺北市大安區信義路三段106號4樓之7,(02)27057001
43,63000040,王品牙醫診所,臺北市中山區松江路289之202號2樓,(02)25179233
44,63000040,如意牙醫診所,臺北市中山區復興南路1段42號3樓,(02)27520796
45,63000040,明水牙醫診所,臺北市中山區明水路397巷7弄62號,(02)25320934
46,63000040,陽光牙醫診所,臺北市中山區南京東路2段174號7樓,(02)25181208
47,63000040,康卓牙醫診所,臺北市中山區朱崙街56號,(02)27318331
48,63000040,承新牙醫診所,臺北市中山區吉林路317號,(02)25971616
49,63000040,極品牙醫診所,臺北市中山區伊通街27號,(02)25010152
50,63000040,陽安牙醫診所,臺北市中山區民權東路二段152巷3號號1樓,(02)25018768
51,63000040,魔法牙醫診所,臺北市中山區南京東路三段9號3樓,(02)25021826
52,63000040,東昇牙醫診所,臺北市中山區民生東路2段100號,(02)25361267
53,63000040,永潔牙醫診所,臺北市中山區吉林路26巷17號,(02)25637119
54,63000040,晶點牙醫診所,臺北市中山區中山北路二段39巷10號2樓,(02)25712576
55,63000040,品維牙醫診所,臺北市中山區中山北路二段59巷1號2樓,(02)25235848
56,63000040,常春藤牙醫診所,臺北市中山區長春路348-5號,(02)87123336
57,63000040,迪士尼數位美學牙醫診所,臺北市中山區北安路554巷8弄1號,(02)25322775
58,63000040,花栗鼠牙醫診所,臺北市中山區復興北路78號2樓,(02)27400169
59,63000050,美日牙醫診所,臺北市中正區羅斯福路三段312號5樓,(02)23685879
60,63000050,臺北市立聯合醫院和平院區,臺北市中正區中華路2段33號,(02)23889595
61,63000050,臺北市立聯合醫院婦幼院區,臺北市中正區福州街12號,(02)23916470
62,63000050,君品牙醫診所,臺北市中正區延平南路232號1樓,(02)23322298
63,63000050,優登牙醫診所,臺北市中正區和平西路一段88號,(02)23658668
64,63000050,和逸牙醫診所,臺北市中正區同安街58號1樓,(02)23695299
65,63000050,璞鼎牙醫診所,臺北市中正區林森北路9巷12號2樓,(02)23218658
66,63000060,曾鳳飛牙醫診所,臺北市大同區長安西路117號2樓,(02)25558527
67,63000060,唯媜牙醫診所,臺北市大同區南京西路220號,(02)25500315
68,63000060,臺北市立聯合醫院中興院區,臺北市大同區鄭州路145號,(02)25523234
69,63000060,晶悅美學牙醫診所,臺北市大同區民生西路138號,(02)25593671
70,63000070,信華牙醫診所,臺北市萬華區內江街78號1-2樓,(02)23811054
71,63000070,信元牙醫診所,臺北市萬華區昆明街175號,(02)23895689
72,63000070,爵華牙醫診所,臺北市萬華區昆明街171號,(02)23885380
73,63000070,雲品牙醫診所,臺北市萬華區萬大路353號,(02)23322298
74,63000070,國立臺灣大學醫學院附設醫院北護分院,臺北市萬華區內江街87號,(02)23717101
75,63000070,正弘牙醫診所,臺北市萬華區西藏路480號,(02)23066588
76,63000070,典華牙醫診所,臺北市萬華區東園街39號,(02)23073666
77,63000070,立新口腔顎面外科牙醫診所,臺北市萬華區西園路二段233號,(02)23010601
78,63000080,吉品牙醫診所,臺北市文山區指南路二段203號,(02)86618785
79,63000080,雅田牙醫診所,臺北市文山區景興路119號,(02)29352838
80,63000080,晶彩牙醫診所,臺北市文山區景興路217號,(02)29305527
81,63000080,多美牙醫診所,臺北市文山區福興路23號,(02)29329299
82,63000080,北持牙醫診所,臺北市文山區木柵路一段267號,(02)29360239
83,63000080,臻美牙醫診所,臺北市文山區羅斯福路五段167號,(02)89315167
84,63000080,景華牙醫診所,臺北市文山區景華街122號,(02)29304167
85,63000080,沐芯牙醫診所,臺北市文山區木新路三段153號2樓,(02)29371266
86,63000090,玉成牙醫診所,臺北市南港區南港路三段76號2樓,(02)27825669
87,63000090,世展牙醫診所,臺北市南港區研究院路1段21號1樓,(02)27882100
88,63000090,德聲牙醫診所,臺北市南港區三重路30號1樓,(02)27830796
89,63000090,臺北市立聯合醫院忠孝院區,臺北市南港區同德路87號,(02)27861288
90,63000090,瓊萻牙醫診所,臺北市南港區南港路2段208號,(02)26516128
91,63000090,南港牙醫診所,臺北市南港區研究院路一段11號,(02)27829777
92,63000100,恩光牙醫診所,臺北市內湖區金龍路57號1樓,(02)27902590
93,63000100,品潔牙醫診所,臺北市內湖區港墘路75號,(02)26272908
94,63000100,心美牙醫診所,臺北市內湖區成功路三段174巷14號,(02)27954477
