年/月,機構數,可供進住總人數,長期照護可供進住人數,養護可供進住人數,失智照顧可供進住人數,安養可供進住人數,實際進住總人數,長期照護實際進住人數,養護實際進住人數,養護/一般養護實際進住人數,養護/管路養護實際進住人數,失智照顧實際進住人數,安養實際進住人數,具原住民身分者實際進住人數
 104年1月底,111,5694,421,4183,64,1026,4999,380,3773,-,-,60,786,9
 104年2月底,111,5688,421,4197,64,1006,5010,380,3793,-,-,59,778,9
 104年3月底,111,5688,421,4197,64,1006,4989,377,3773,-,-,59,780,9
 104年4月底,111,5688,421,4197,64,1006,4999,370,3773,-,-,61,795,9
 104年5月底,111,5688,421,4197,64,1006,5018,380,3776,-,-,62,800,9
 104年6月底,111,5691,421,4200,64,1006,5051,382,3812,-,-,61,796,9
 104年7月底,110,5673,421,4182,64,1006,5083,385,3833,-,-,62,803,9
 104年8月底,110,5673,421,4182,64,1006,5067,380,3831,-,-,63,793,9
 104年9月底,110,5673,421,4182,64,1006,5060,377,3835,-,-,63,785,8
 104年10月底,110,5673,421,4182,64,1006,5059,377,3828,-,-,63,791,8
 104年11月底,110,5673,421,4182,64,1006,5044,379,3823,-,-,61,781,8
 104年12月底,110,5673,421,4182,64,1006,5036,384,3812,-,-,62,778,8
 105年1月底,111,5721,421,4230,64,1006,4998,370,3797,-,-,61,770,8
 105年2月底,111,5721,421,4230,64,1006,4936,372,3743,-,-,62,759,8
 105年3月底,112,5740,429,4241,64,1006,4943,361,3757,-,-,62,763,8
 105年4月底,112,5724,459,4195,64,1006,4945,366,3769,-,-,61,749,8
 105年5月底,111,5707,459,4178,64,1006,4930,381,3751,-,-,59,739,8
 105年6月底,110,5677,438,4169,64,1006,4927,378,3745,-,-,59,745,8
 105年7月底,110,5677,438,4169,64,1006,4913,378,3731,-,-,59,745,8
 105年8月底,110,5686,447,4169,64,1006,4947,379,3766,-,-,58,744,8
 105年9月底,110,5686,447,4169,64,1006,4957,379,3783,-,-,59,736,8
 105年10月底,110,5686,447,4169,64,1006,4956,381,3777,-,-,58,740,10
 105年11月底,110,5686,447,4169,64,1006,4940,367,3774,-,-,58,741,10
 105年12月底,109,5674,447,4157,64,1006,4932,396,3740,-,-,59,737,9
 106年1月底,108,5665,447,4148,64,1006,4913,386,3742,2558,1184,62,723,9
 106年2月底,108,5665,447,4148,64,1006,4915,377,3758,2579,1179,62,718,10
 106年3月底,108,5665,447,4164,64,990,4905,377,3749,2569,1180,62,717,10
 106年4月底,107,5647,447,4146,64,990,4923,386,3752,2586,1166,61,724,11
