序號,名稱,電話,地址,代碼編號,行政區,立案字號,成立日期,類別
1,財團法人台北市陽明山謝氏宗親會,28813507,臺北市士林區仰德大道1段12巷39號,N10001,士林區,北市社會字第陽明山管理局80.7.23.改由社會局主管號,0580815,其他類
2,財團法人台北青商基金會,25067373,臺北市中山區松江路67號10樓之3,N10002,中山區,北市社會字第北市社一字第13646號函號,0620707,其他類
3,財團法人台北市國立政治大學校友會,23517334,臺北市文山區指南路2段64號第8教室,N10003,文山區,北市社會字第北院劍法字第11241號號,0630607,其他類
4,財團法人至誠社會服務基金會,23916470分機1803,臺北市中山區長安東路1段20號10樓之6,N10004,中山區,北市社會字第北市社一字第19369號函號,0710526,其他類
5,財團法人台北市聖明世界和平慈善基金會,2311-1771,臺北市中正區開封街1段105號5樓之3,N10005,中正區,北市社會字第北市社ㄧ字第59233號函號,0761222,其他類
6,財團法人義芳慈善基金會,(02)2306-2131＃1537或585,臺北市萬華區莒光路310號5樓,N20001,萬華區,北市社會字第北市社三字第1553號號,0620208,綜合慈善
7,財團法人蔡紹華慈善濟助事業基金會,0910-110-826,臺北市信義區忠孝東路5段669號6樓,N20002,信義區,北市社會字第北市社三字第14003號號,0680504,綜合慈善
8,財團法人林振興先生慈善濟助事業基金會,(02)2838-2700分機826,臺北市士林區德行東路129巷10之1號1樓,N20003,士林區,北市社會字第北市社三字第35486號號,0681026,綜合慈善
9,財團法人星友社會福利事業基金會,(02)2719-4488（曾小姐）,臺北市大同區承德路3段67號,N20005,大同區,北市社會字第北市社三字第6854號號,0750221,綜合慈善
10,財團法人林公國長家祠慈善基金會,(02)2541-6621,臺北市中山區南京東路1段27號,N20006,中山區,北市社會字第北市社三字第5311號號,0751120,綜合慈善
11,財團法人台北市崇善基金會,(02)2559-3512,臺北市大同區西寧北路122號2樓,N20008,大同區,北市社會字第北市社三字第42933號號,0760914,綜合慈善
12,財團法人台北市關天師天心慈善基金會,(02)2891-5068,臺北市北投區清江路102號1樓,N20009,北投區,北市社會字第北市社二字第8440號號,0770317,綜合慈善
13,財團法人台北市慈愛社會福利事業基金會,(02)2595-1857,臺北市中山區雙城街28巷1號7樓之3,N20010,中山區,北市社會字第北市社三字第41683號號,0771122,綜合慈善
14,財團法人臺北市恩典慈善公益基金會,(02)23709881214,臺北市萬華區成都路139號4樓之5,N20011,萬華區,北市社會字第北市社二字第2803號號,0780125,綜合慈善
15,財團法人台北市仰德社會福利事業基金會,,臺北市大同區重慶北路3段236巷44弄8號4樓,N20012,大同區,北市社會字第北市社一字第8140號號,0780314,綜合慈善
