縣市,行政區,郵遞區號,特寵業字號及有效期限,許可證登記公司名,電話,地址,營業項目,評鑑等級
臺北市,士林區,111,"V1070148-02
(2027.07.18)",岱哥寵物精品,02-2875-6869,天母西路3號2樓之1,寄養,甲等
臺北市,士林區,111,"V1070166-02
(2027.07.05)","美樂蒂寵物
美容用品館","02-2816-0089
0958-119-588",延平北路五段208號1樓,"買賣
寄養",甲等
臺北市,士林區,111,"V1120359-00
(2026.08.24)",貓室友工作室,0989-935-571,文林路512-1號1、2樓,寄養,優等
臺北市,士林區,111,"V1080240-00
(2025.05.14)",逸?有限公司,"02-2275-3990
02-2872-7333",天母東路13號,寄養,甲等
臺北市,士林區,111,"V1080243-00
(2025.06.18)",一簍毛工作室,0909-878-664,天母西路3號5樓之20,寄養,特優
臺北市,士林區,111,"V1080256-00
(2025.10.14)","花襪子的家
寵物生活館","02-2871-9019
0910-653-289",天母北路38號1樓,寄養,優等
臺北市,士林區,111,"V1080258-00
(2025.12.11)",張羅企業社,"02-2834-1296
02-2872-7333",士東路18號1樓,寄養,優等
臺北市,士林區,111,"V1100300-01
(2027.07.29)","萬達寵物事業股份
有限公司天母分公司",02-2876-7477,天母西路12之1、12之2、12之3號,寄養,甲等
臺北市,士林區,111,"V1110345-00
(2025.12.20)",荷娜寵物美容,02-2876-3325,天母東路50巷20-2號1樓,寄養,甲等
臺北市,士林區,111,"V1110332-00
(2025.09.27)",東森寵物雲股份有限公司,02-2883-1360,文林路66號1樓,"買賣
寄養",甲等
臺北市,士林區,111,"V1120347-00
(2026.01.05)",國寶寵物股份有限公司,02-7726-5678#286,中山北路七段20號、20之1號及22號1樓,寄養,特優
臺北市,士林區,111,"V1120354-00
(2026.05.18)",承楓企業社,0930-002-204,士東路37號1樓,寄養,優等
臺北市,士林區,111,"V1130370-00
(2027.01.18)",巧菲時尚寵物沙龍,02-2833-7520,福國路63號1樓,寄養,甲等
臺北市,大同區,103,"V1070194-01
(2027.06.16)",城市貓旅工作室,"02-2552-7056
0932-333-025",長安西路254號2樓,寄養,特優
臺北市,大同區,103,"V1080263-00
(2025.12.24)",洗寶貝寵物美容,02-2599-4282,重慶北路三段75號1樓,寄養,甲等
臺北市,大同區,103,"V1100286-00
(2027.01.14)",樂洗狗寵物生活館,02-2556-9639,華亭街57號1樓,寄養,乙等
臺北市,大同區,103,"V1100297-00
(2027.05.13)",貓僕舍寵物商行,02-2585-1417,重慶北路三段73號1樓,寄養,乙等
臺北市,大同區,103,"V1100304-00
(2027.09.15)",皇良寵物生活館,0970-744-519,承德路二段6號1樓,"買賣
寄養",乙等
