縣市,行政區,郵遞區號,特寵業字號,許可證有效期限,許可證登記公司名,電話,地址,營業項目,評鑑等級
臺北市,士林區,111,V1070148-02,2027.07.18,岱哥寵物精品,2875-6869,天母西路3號2樓之1,寄養,優等
臺北市,士林區,111,V1070166-02,2027.07.05,美樂蒂寵物美容用品館,2816-0089,延平北路5段208號1樓,買賣寄養,甲等
臺北市,士林區,111,V1080240-01,2028.05.14,逸?有限公司,22753990,天母東路13號,寄養,甲等
臺北市,士林區,111,V1080243-00,2028.06.18,一簍毛工作室,0909878664,天母西路3號5樓之20,寄養,特優
臺北市,士林區,111,V1080256-00,2028.10.14,花襪子的家寵物生活館,0910653289,天母北路38號1樓,寄養,特優
臺北市,士林區,111,V1080258-00,2028.12.11,張羅企業社,28341296,士東路18號1樓,寄養,優等
臺北市,士林區,111,V1100300-01,2027.07.29,萬達寵物事業股份有限公司_天母分公司,02-2876-7477,天母西路12之1、12之2、12之3號,寄養,乙等
臺北市,士林區,111,V1110345-00,2028.12.20,荷娜寵物美容,0910-086615；02-2876-3325,天母東路50巷20之2號1樓,寄養,甲等
臺北市,士林區,111,V1120347-00,2029.01.05,國寶寵物股份有限公司,02-77265678#286,中山北路七段20號、20之1號及22號1樓,寄養,特優
臺北市,士林區,111,V1120354-00,2026.05.18,承楓企業社,0930-002204,士東路37號1樓(收件地址：臺北市士林區華齡街185巷12號2樓),寄養,優等
臺北市,士林區,111,V1120359-00,2026.08.24,貓室友工作室,0972-168964,文林路512之1號1、2樓,寄養,優等
臺北市,士林區,111,V1130370-00,2027.01.18,巧菲時尚寵物沙龍,02-29337520,福國路63號1樓,寄養,乙等
臺北市,士林區,111,V1140417-00,2028.02.26,東森寵物雲股份有限公司,02-2883-1362,文林路66號1樓,寄養買賣,甲等
臺北市,大同區,103,V1080263-00,2025.08.25,洗寶貝寵物美容,25994282,重慶北路3段75號1樓,寄養,甲等
臺北市,大同區,103,V1100297-00,2025.09.02,貓僕舍寵物商行,02-2585-1417,重慶北路三段73號1樓,寄養,甲等
臺北市,大同區,103,V1100304-00,2024.06.18,皇良寵物生活館,0970-744-519,承德路二段6號1樓,買賣寄養,甲等
臺北市,大同區,103,V1110314-00,2024.12.12,連夢露寵物美容室,25596369,承德路一段83號1樓,寄養,甲等
臺北市,大同區,103,V1130399-00,2024.10.17,奶油米貓舍,0920-401993 0920409920,華亭街9號1樓,買賣,新設
臺北市,大同區,103,V1130408-00,2024.12.19,悠樂寵物有限公司,0953-856320,平陽街25號1樓,寄養,特優
臺北市,大同區,103,V1140414-00,2025.01.20,卡蒂家的貓有限公司台北分公司,02-2552-8970,延平北路二段168號,寄養買賣,新設
臺北市,大同區,103,V1140420-00,2025.02.18,毛意盎然有限公司,961096062,民族西路268號1樓,寄養,新設
臺北市,大同區,103,V1140444-00,2025.11.10,木??有限公司,978787823,長安西路254號2樓,寄養,新設
臺北市,大同區,103,V1140447-00,2025.11.11,樂洗狗寵物生活館,02-25569639,華亭街8號1樓,寄養,甲等
臺北市,大安區,106,V1070104-01,2027.07.08,金吉旺寵物有限公司,"2735-9156
0933-097072",基隆路二段104號,寄養,優等
臺北市,大安區,106,V1070151-02,2027.08.12,禮來寵物生活館,2735-6877,基隆路2段144巷2號1樓,寄養,乙等
臺北市,大安區,106,V1070189-00,2027.07.08,吉寵企業社,"0971-327868
0933914730",基隆路二段126號1樓,寄養,甲等
臺北市,大安區,106,V1070199-01,2027.07.29,愛貓寒舍有限公司,0932314613 27370766,基隆路2段110號5樓,寄養,甲等
臺北市,大安區,106,V1070206-00,2027.10.17,好寵企業有限公司,27078877,信義路三段75-1號1、2樓,買賣寄養,特優
臺北市,大安區,106,V1080254-00,2028.09.16,貓寶貝寵物園,0910967028,基隆路二段128號1樓,寄養,甲等
臺北市,大安區,106,V1090268-00,2026.03.31,毛小孩美寵興業有限公司,27066268,信義路四段293號2樓,寄養,乙等
臺北市,大安區,106,V1090273-00,2026.07.13,韻羽股份有限公司,0975279931,復興南路一段76號10樓之3,寄養,特優
臺北市,大安區,106,V1090279-00,2026.11.08,耀晟寵物坊,02-27392705,基隆路2段130號1樓,寄養,甲等
臺北市,大安區,106,V1090282-00,2026.12.24,北歐犬舍有限公司,0933066543,新生南路二段60之1號和60之2號,寄養,特優
臺北市,大安區,106,V1100287-00,2027.02.07,爵靈企業有限公司,289422383 0988503793 ,基隆路二段134之1號1樓,寄養,乙等
臺北市,大安區,106,V1100301-01,2027.08.04,毛尾巴商行,0905-239-238,大安路一段205號1樓,寄養,甲等
臺北市,大安區,106,V1110321-00,2028.07.14,寵愛有加股份有限公司,0982-377588,安和路二段41號1樓,寄養,甲等
臺北市,大安區,106,V1110328-00,2028.08.21,大安旺旺愛犬屋有限公司,0988-859959/0955-909230,復興南路一段321號6樓及6樓之2,寄養,特優
