項次,展演地,主管機關,市話,分機,開放時段,開放表演類型,申請方式
1,"市民廣場及
市政大樓周邊場地街舞區",臺北市市政大樓公共事務管理中心,(02)27258624,,08:00-22:00,表演藝術類、視覺藝術類、工藝藝術類,電話預約
2,"國立國父紀念館
中山公園廣場
",國立國父紀念館,(02)27588008,522,09:00-17:00,表演藝術類、視覺藝術類、工藝藝術類,電話預約
3,信義徒步區,臺北市政府文化局,(02)27208889,3531,"週一至週五18:00~22:00
 週六日及例假日為13:30-17:30、18:00~22:00",表演藝術類、視覺藝術類、工藝藝術類,線上登記
4,西門徒步區,臺北市政府文化局,(02)27208889,3556,"週一至週五18:00~22:00
週六日及例假日為13:30-17:30、18:00~22:00",表演藝術類、視覺藝術類、工藝藝術類,線上登記
5,寶藏巖,"臺北市政府文化局
臺北市文化基金會",(02)23645313,134,"11:00-18:00
(逢週一休館)",表演藝術類、視覺藝術類、工藝藝術類,電話預約
6,松山文創園區,"臺北市政府文化局
臺北市文化基金會",(02)27651388,,10:00-18 :00(僅於週六、日及國定假日開放),表演藝術類、視覺藝術類、工藝藝術類,松山文創園區官方網站
7,中山堂廣場,"臺北市政府文化局
臺北市中山堂管理所",(02)23813137,105,周一至周五 09:00-12:00、13:30-17:30,表演藝術類、視覺藝術類、工藝藝術類,電話預約
8,臺北市立美術館廣場,"臺北市政府文化局
臺北市立美術館",(02)25957656,515,09:30-17:30                  (逢週一休館),表演藝術類、視覺藝術類、工藝藝術類,書面申請
9,捷運淡水站,臺北捷運公司,(02)26213390,,"10:00-21:00
表演藝術分為早場10:00-16:50；晚場17:00-21:00",表演藝術類、視覺藝術類、工藝藝術類,現場登記抽籤
10,捷運新北投站,臺北捷運公司,(02)26213390,,早場10:00-16:50、晚場17:00-21:00,表演藝術類、視覺藝術類,線上登記
11,捷運北投站,臺北捷運公司,(02)26213390,,早場10:00-16:50、晚場 17:00-21:00,表演藝術類、視覺藝術類、工藝藝術類,線上登記
12,捷運士林站,臺北捷運公司,(02)23718774,,早場10:00-16:50、晚場 17:00-21:00,視覺藝術類、表演藝術類（僅限非音樂性之表演）,線上登記
13,捷運中正紀念堂站,臺北捷運公司,(02)25505600 ,4108,10:00-23:00,表演藝術類之歌唱與樂器演奏類,"電話登記、
傳真(1組身心障礙者(限5人以下團體或個人)表演)"
14,捷運西門站,臺北捷運公司,(02)25505600 ,6491,早場10:00-16:50、晚場 17:00-22:00,表演藝術類之歌唱與樂器演奏類,線上登記1組(限3人以下團體或個人)表演
15,捷運東區地下街第2廣場,臺北捷運公司,(02)25505600 ,3204,早場10:00-16:50、晚場 17:00-22:00,表演藝術類、視覺藝術類,線上登記
16,貓空纜車指南宮站戶外廣場,北捷遊憩公司,(02)86618110,,週二至週日10:00-18:00,音樂性之表演藝術類,線上登記
17,"臺北市兒童新樂園
樹蛙表演場",北捷遊憩公司,(02)28333823,105,早場09:00-13:00、晚場13:00至閉園，緋寒、暑假之週一為休園日不開放。,表演藝術類,線上登記
,臺北市兒童新樂園其他點位,北捷遊憩公司,(02)28333823,105,"其餘點位
(1)寒、暑假及連續假期:09:00-20:00，連續假期收假日09:00-18:00
(2)非寒、暑假:周二至五09:00-17:00；週六、日09:00-18:00
3.農曆除夕為休園日，全日不營業。如遇特殊情況則已公布內容為準。",表演藝術類,線上登記
18,錢穆故居戶外庭園、人文茶坊,臺北市政府文化局,(02)28805809,,"10:00-17:00
 (逢週一及國定假日休館)",表演藝術類、視覺藝術類、工藝藝術類,電話預約
19,臺北當代藝術館,臺北市政府文化局,(02)25523721,212,"10:00-18:00 
 (逢週一休館)",表演藝術類、視覺藝術類、工藝藝術類,電話預約
20,碧湖公園(內湖區),臺北市政府工務局公園路燈工程管理處,(02)26586601,,10:00~22:00,表演藝術類、視覺藝術類、工藝藝術類,線上登記
21,大湖公園（內湖區）,臺北市政府工務局公園路燈工程管理處,(02)26586601,,10:00~20:00,表演藝術類、視覺藝術類、工藝藝術類,線上登記
22,北投公園(北投區),臺北市政府工務局公園路燈工程管理處,(02)28832130,109,10:00~22:00,表演藝術類、視覺藝術類、工藝藝術類,線上登記
23,大安森林公園(大安區),臺北市政府工務局公園路燈工程管理處,(02)27003830,,星期六日及例假日之10:00-13:00（早場）、14:00-17:00（午場）、18:00-20:00（晚場）。,表演藝術類、視覺藝術類、工藝藝術類,線上登記
24,艋舺公園(萬華區),臺北市政府工務局公園路燈工程管理處,(02)23026256,,"13:00-21:00
假日14:00-19:00開放樂器表演項目""",表演藝術類、視覺藝術類,線上登記
25,二二八和平公園 台灣博物館,臺北市政府工務局公園路燈工程管理處,(02)23032451,20,8:00~20:00,表演藝術類、視覺藝術類、工藝藝術類,線上登記
26,士林官邸公園(大型花展期間),臺北市政府工務局公園路燈工程管理處,(02)28812512,,08:00-18:00,表演藝術類、視覺藝術類、工藝藝術類,線上登記
27,大佳河濱公園,臺北市政府工務局水利工程處,(02)27208889,3277,08:00-21:30,表演藝術類,線上登記
28,古亭河濱公園,臺北市政府工務局水利工程處,(02)27208889,3277,08:00-21:30,表演藝術類,線上登記
29,成美右岸河濱公園,臺北市政府工務局水利工程處,(02)27208889,3277,08:00-21:30,表演藝術類,線上登記
30,成美左岸河濱公園,臺北市政府工務局水利工程處,(02)27208889,3277,08:00-21:30,表演藝術類,線上登記
31,美堤河濱公園,臺北市政府工務局水利工程處,(02)27208889,3277,08:00-21:30,表演藝術類,線上登記
32,關渡河濱公園,臺北市政府工務局水利工程處,(02)27208889,3277,08:00-21:30,表演藝術類,線上登記
33,迪化污水處理廠附設休閒運動公園,工務局衛生下水道工程處,(02)25973183,871,迪化廠09:00-21:00                        ,表演藝術類、視覺藝術類、工藝藝術類,線上登記
34,內湖污水處理廠回饋公園,工務局衛生下水道工程處,(02)87919494,123,內湖廠09:00-21:00,表演藝術類、視覺藝術類、工藝藝術類,線上登記
35,臺北市立天文科學教育館,臺北市立天文科學教育館,(02)28314551,509,"09:00-17:00
 (逢週一休館)",表演藝術類,線上登記
