序號,機構名稱,機構地址,機構電話,負責人,105年評鑑成績,105年度衛福部評鑑成績,106年評鑑成績,107年評鑑成績,108年評鑑成績
1,臺北市至善老人安養護中心,臺北市士林區仰德大道2段2巷50號,(02)28832666,鄒繼群,,甲等,,,
2,臺北市私立天玉老人長期照顧中心(長期照護型),臺北市士林區天玉街38巷18弄18號1-6樓,(02)28720239,林海珠,,,甲等,,
3,臺北市私立松園老人長期照顧中心(養護型),臺北市士林區德行東路61巷1、2、3號1、2樓,(02)88662097,冉筠佩,甲等,,,,
4,臺北市私立柏安老人養護所,臺北市士林區中山北路6段290巷52號、54號1樓,(02)28333536,黃彥勳,優等,,,,
5,臺北市私立祇福老人養護所,臺北市士林區忠誠路2段10巷11號、13號1-2樓,(02)28317713,黃潮琴,,,甲等,,
6,臺北市私立祐心老人長期照顧中心(養護型),臺北市士林區至誠路1段305巷3弄14號1-2樓,(02)28310432,黃成德,乙等,,,,
7,臺北市私立上美老人長期照顧中心(養護型),臺北市士林區重慶北路4段162號1-4樓,(02)28122366,李依蓮,乙等,,,,
8,臺北市私立荷園老人長期照顧中心(養護型),臺北市士林區葫蘆街33號2~3樓,(02)28163696,徐慶鼎,,,,乙等,優等
9,臺北市私立璞園老人長期照顧中心(養護型),臺北市士林區葫蘆街33號4、5、6樓,(02)28163696,黃台生,,,,甲等,
10,臺北市私立敦煌老人長期照顧中心(養護型),臺北市大同區敦煌路80巷3號及3-1號1樓,(02)25945133,林素滿,,,,甲等,
11,臺北市私立建順老人長期照顧中心(養護型),臺北市大同區甘州街55號3樓,(02)25520199,黃政義,甲等,,,,
12,臺北市私立仁家老人長期照顧中心(養護型),臺北市大同區甘州街55號5~6樓,(02)25530799,陳献榮,優等,,,,
13,臺北市私立慧光老人養護所,臺北市大同區寧夏路32號5樓,(02)25582275,康玉燕,,,優等,,
14,臺北市私立德寶老人養護所,臺北市大同區長安西路78巷4弄11號1-4樓,(02)25522062,張麗美,乙等,,,,
15,臺北市私立祥安尊榮老人長期照顧中心(養護型),臺北市大同區延平北路3段4號2樓,(02)25860098,林哲弘,,,甲等,,
16,臺北市私立永安老人養護所,臺北市大同區重慶北路3段284號1-4樓、286號1-4樓,(02)25980197,莊增瀧,,,甲等,,
17,臺北市私立晉安老人長期照顧中心(養護型),臺北市大同區重慶北路3段175、177號1~4樓,(02)25982301,吳世均,,,甲等,,
18,臺北市私立建興老人長期照顧中心(養護型),臺北市大同區甘州街55號2樓,(02)25520199,黃政義,,,甲等,,
19,臺北市私立康寧老人長期照顧中心(養護型),臺北市大安區仁愛路4段300巷20弄15號2樓、17號2樓,(02)27053835,林溦,甲等,,,,
20,臺北市私立上上老人養護所,臺北市大安區復興南路1段279巷14號、16號1樓,(02)27032223,李惠珍,,,,優等,
21,臺北市私立天恩老人長期照顧中心(養護型),臺北市大安區新生南路3段7-4號、9-4號、9-5號,(02)23620457,薛秀娥,,,甲等,,
22,臺北市私立華安老人長期照護中心,臺北市大安區光復南路116巷1、3、5號5樓及3號6樓,(02)27717172,葉錦珠,,,乙等,,
23,臺北市私立健全老人長期照顧中心(養護型),臺北市大安區金山南路2段152號2、3、5、6樓,(02)23943265,游祥祺,,,甲等,,
24,臺北市私立新常安老人長期照顧中心(養護型),臺北市大安區安居街27號4、6樓及和平東路3段228巷39號2樓,(02)23775448,龍建旭,,,甲等,,
25,臺北市私立松湛園老人養護所,臺北市中山區錦州街4巷1號2樓及2樓之1,(02)25652281,李秋龍,,,,乙等,甲等
