個案名稱,資產類別,資產種類,所屬主管機關,機關代碼,所在地理區域,縣市別代碼
觀音禪堂,直轄市定古蹟,寺廟,臺北市政府,379000000A,臺北市中正區,63000
原大阪商船株式會社臺北支店,直轄市定古蹟,產業,臺北市政府,379000000A,臺北市中正區,63000
臺北府城—東門、南門、小南門、北門,國定古蹟,城郭,文化部,A25000000E,臺北市中正區,63000
欽差行臺,直轄市定古蹟,衙署,臺北市政府,379000000A,臺北市中正區,63000
原臺灣教育會館,直轄市定古蹟,其他設施,臺北市政府,379000000A,臺北市中正區,63000
黃氏節孝坊,直轄市定古蹟,牌坊,臺北市政府,379000000A,臺北市中正區,63000
急公好義坊,直轄市定古蹟,牌坊,臺北市政府,379000000A,臺北市中正區,63000
勸業銀行舊廈,直轄市定古蹟,其他設施,臺北市政府,379000000A,臺北市中正區,63000
臺北郵局,直轄市定古蹟,機關,臺北市政府,379000000A,臺北市中正區,63000
臺灣總督府博物館,國定古蹟,其他設施,文化部,A25000000E,臺北市中正區,63000
總統府,國定古蹟,衙署,文化部,A25000000E,臺北市中正區,63000
監察院,國定古蹟,衙署,文化部,A25000000E,臺北市中正區,63000
行政院,國定古蹟,衙署,文化部,A25000000E,臺北市中正區,63000
臺北賓館,國定古蹟,宅第,文化部,A25000000E,臺北市中正區,63000
司法大廈,國定古蹟,衙署,文化部,A25000000E,臺北市中正區,63000
臺北撫臺街洋樓,直轄市定古蹟,其他設施,臺北市政府,379000000A,臺北市中正區,63000
曹洞宗大本山臺灣別院鐘樓,直轄市定古蹟,其他設施,臺北市政府,379000000A,臺北市中正區,63000
寶藏巖,直轄市定古蹟,寺廟,臺北市政府,379000000A,臺北市中正區,63000
臺大醫學院舊館,直轄市定古蹟,其他設施,臺北市政府,379000000A,臺北市中正區,63000
臺北第一高女,直轄市定古蹟,學校,臺北市政府,379000000A,臺北市中正區,63000
建國中學紅樓,直轄市定古蹟,其他設施,臺北市政府,379000000A,臺北市中正區,63000
原臺北信用組合,直轄市定古蹟,銀行,臺北市政府,379000000A,臺北市中正區,63000
臺灣電力株式會社社長宿舍,直轄市定古蹟,宅第,臺北市政府,379000000A,臺北市中正區,63000
臺灣銀行,直轄市定古蹟,其他設施,臺北市政府,379000000A,臺北市中正區,63000
帝國生命保險株式會社臺北支店,直轄市定古蹟,其他設施,臺北市政府,379000000A,臺北市中正區,63000
臺灣總督府電話交換局,直轄市定古蹟,其他設施,臺北市政府,379000000A,臺北市中正區,63000
濟南基督長老教會,直轄市定古蹟,教堂,臺北市政府,379000000A,臺北市中正區,63000
原三井物產株式會社臺北支店,直轄市定古蹟,辦公廳舍,臺北市政府,379000000A,臺北市中正區,63000
婦聯總會,直轄市定古蹟,其他設施,臺北市政府,379000000A,臺北市中正區,63000
國定古蹟嚴家淦故居,國定古蹟,官邸,文化部,A25000000E,臺北市中正區,63000
臺北水道水源地,直轄市定古蹟,其他設施,臺北市政府,379000000A,臺北市中正區,63000
李國鼎故居,直轄市定古蹟,宅第,臺北市政府,379000000A,臺北市中正區,63000
臺北酒廠,直轄市定古蹟,"產業,其他設施",臺北市政府,379000000A,臺北市中正區,63000
原臺灣軍司令部,直轄市定古蹟,衙署,臺北市政府,379000000A,臺北市中正區,63000
原臺灣軍司令官官邸(孫立人將軍官邸),直轄市定古蹟,宅第,臺北市政府,379000000A,臺北市中正區,63000
紀州庵,直轄市定古蹟,其他設施,臺北市政府,379000000A,臺北市中正區,63000
孫運璿重慶南路寓所,直轄市定古蹟,宅第,臺北市政府,379000000A,臺北市中正區,63000
南海學園科學館,直轄市定古蹟,其他設施,臺北市政府,379000000A,臺北市中正區,63000
原大磯內科醫院,直轄市定古蹟,宅第,臺北市政府,379000000A,臺北市中正區,63000
牯嶺街高等官舍群,直轄市定古蹟,宅第,臺北市政府,379000000A,臺北市中正區,63000
國立臺灣大學日式宿舍－福州街20、22、26號,直轄市定古蹟,宅第,臺北市政府,379000000A,臺北市中正區,63000
齊東街日式宿舍,直轄市定古蹟,宅第,臺北市政府,379000000A,臺北市中正區,63000
專賣局(今臺灣菸酒股份有限公司),國定古蹟,衙署,文化部,A25000000E,臺北市中正區,63000
福州街11號日式宿舍,直轄市定古蹟,宅第,臺北市政府,379000000A,臺北市中正區,63000
前南菜園日式宿舍,直轄市定古蹟,宅第,臺北市政府,379000000A,臺北市中正區,63000
清代機器局遺構,直轄市定古蹟,衙署,臺北市政府,379000000A,臺北市大同區,63000
陳天來故居,直轄市定古蹟,宅第,臺北市政府,379000000A,臺北市大同區,63000
歸綏街文萌樓,直轄市定古蹟,產業,臺北市政府,379000000A,臺北市大同區,63000
機器局第五號倉庫,直轄市定古蹟,產業,臺北市政府,379000000A,臺北市大同區,63000
鐵道部部長宿舍,直轄市定古蹟,宅第,臺北市政府,379000000A,臺北市大同區,63000
大稻埕千秋街店屋,直轄市定古蹟,宅第,臺北市政府,379000000A,臺北市大同區,63000
大稻埕圓環防空蓄水池,直轄市定古蹟,其他設施,臺北市政府,379000000A,臺北市大同區,63000
台灣基督長老教會大稻埕教會,直轄市定古蹟,教堂,臺北市政府,379000000A,臺北市大同區,63000
台北霞海城隍廟,直轄市定古蹟,寺廟,臺北市政府,379000000A,臺北市大同區,63000
新芳春茶行,直轄市定古蹟,"宅第,產業",臺北市政府,379000000A,臺北市大同區,63000
大稻埕辜宅,直轄市定古蹟,宅第,臺北市政府,379000000A,臺北市大同區,63000
臺北市政府舊廈(原建成小學校),直轄市定古蹟,其他設施,臺北市政府,379000000A,臺北市大同區,63000
原臺北北警察署,直轄市定古蹟,衙署,臺北市政府,379000000A,臺北市大同區,63000
陳德星堂,直轄市定古蹟,"祠堂,寺廟",臺北市政府,379000000A,臺北市大同區,63000
臺北孔子廟,直轄市定古蹟,寺廟,臺北市政府,379000000A,臺北市大同區,63000
鐵道部臺北工場車輛修理工場,直轄市定古蹟,其他設施,臺北市政府,379000000A,臺北市大同區,63000
前美國大使官邸,直轄市定古蹟,宅第,臺北市政府,379000000A,臺北市中山區,63000
臨濟護國禪寺,直轄市定古蹟,寺廟,臺北市政府,379000000A,臺北市中山區,63000
臺北第三高女(中山女中),直轄市定古蹟,其他設施,臺北市政府,379000000A,臺北市中山區,63000
圓山別莊,直轄市定古蹟,宅第,臺北市政府,379000000A,臺北市中山區,63000
中山基督長老教會,直轄市定古蹟,"教堂,其他設施",臺北市政府,379000000A,臺北市中山區,63000
臺北市政府衛生局舊址,直轄市定古蹟,衙署,臺北市政府,379000000A,臺北市中山區,63000
蔡瑞月舞蹈研究社,直轄市定古蹟,宅第,臺北市政府,379000000A,臺北市中山區,63000
建國啤酒廠,直轄市定古蹟,產業,臺北市政府,379000000A,臺北市中山區,63000
松山市場,直轄市定古蹟,產業,臺北市政府,379000000A,臺北市松山區,63000
總督府山林課宿舍,直轄市定古蹟,宅第,臺北市政府,379000000A,臺北市大安區,63000
殷海光故居,直轄市定古蹟,其他設施,臺北市政府,379000000A,臺北市大安區,63000
臺灣大學校門,直轄市定古蹟,其他設施,臺北市政府,379000000A,臺北市大安區,63000
臺北工業學校紅樓,直轄市定古蹟,其他設施,臺北市政府,379000000A,臺北市大安區,63000
清真寺,直轄市定古蹟,寺廟,臺北市政府,379000000A,臺北市大安區,63000
芳蘭大厝,直轄市定古蹟,宅第,臺北市政府,379000000A,臺北市大安區,63000
紫藤廬,直轄市定古蹟,其他設施,臺北市政府,379000000A,臺北市大安區,63000
臺北監獄圍牆遺蹟,直轄市定古蹟,衙署,臺北市政府,379000000A,臺北市大安區,63000
臺灣師範大學原高等學校校舍（講堂、行政大樓、文薈廳、普字樓）,直轄市定古蹟,其他設施,臺北市政府,379000000A,臺北市大安區,63000
臺灣大學原帝大校舍(舊圖書館、行政大樓、文學院),直轄市定古蹟,其他設施,臺北市政府,379000000A,臺北市大安區,63000
義芳居古厝,直轄市定古蹟,宅第,臺北市政府,379000000A,臺北市大安區,63000
舊高等農林學校作業室（磯永吉紀念室）,直轄市定古蹟,其他設施,臺北市政府,379000000A,臺北市大安區,63000
龍安坡黃宅濂讓居,直轄市定古蹟,宅第,臺北市政府,379000000A,臺北市大安區,63000
舊總督府第二師範學校大禮堂,直轄市定古蹟,其他設施,臺北市政府,379000000A,臺北市大安區,63000
國立臺灣大學日式宿舍─羅銅壁寓所,直轄市定古蹟,宅第,臺北市政府,379000000A,臺北市大安區,63000
國立臺灣大學日式宿舍－青田街7巷2號,直轄市定古蹟,宅第,臺北市政府,379000000A,臺北市大安區,63000
