編號,縣市,醫療機構名稱,醫師姓名,專科別,門診時間
1,63000000,國立台灣大學醫學院附設醫院,李麗娜,胸腔內科,"星期二 09:00-12:00 【醫師約診】 
※依臺大醫院網路掛號系統公告為主"
2,63000000,國立台灣大學醫學院附設醫院,王振源,胸腔內科,"星期五 09:00-12:00
※依臺大醫院網路掛號系統公告為主"
3,63000000,國立台灣大學醫學院附設醫院,許嘉林,胸腔內科,"星期五 13:30-16:30
※依臺大醫院網路掛號系統公告為主"
4,63000000,國立台灣大學醫學院附設醫院,樹金忠,胸腔內科,"星期四 13:30-16:30 (每月1,3,5週)
※依臺大醫院網路掛號系統公告為主"
5,63000000,國立台灣大學醫學院附設醫院,黃俊達,胸腔內科,"星期四 13:30-16:30 (每月2,4週)
※依臺大醫院網路掛號系統公告為主"
6,63000000,國立台灣大學醫學院附設醫院,楊景堯,胸腔內科,"星期二 09:00-12:00 
星期五 13:30-16:30
※依臺大醫院網路掛號系統公告為主"
7,63000000,國立台灣大學醫學院附設醫院,錢穎群,胸腔內科,"星期一 13:30-16:30
星期二 09:00-12:00 
※依臺大醫院網路掛號系統公告為主"
8,63000000,國立台灣大學醫學院附設醫院,簡榮彥,胸腔內科,"星期一 13:30-16:30
星期四 09:00-12:00 
※依臺大醫院網路掛號系統公告為主"
9,63000000,國立台灣大學醫學院附設醫院,黃俊凱,胸腔內科,"星期五 13:30-16:30
※依臺大醫院網路掛號系統公告為主"
10,63000000,國立台灣大學醫學院附設醫院,阮聖元,胸腔內科,"星期三 13:30-16:30
星期五 09:00-12:00 
※依臺大醫院網路掛號系統公告為主"
11,63000000,國立台灣大學醫學院附設醫院,鐘桂彬,胸腔內科,"星期三 13:30-16:30
※依臺大醫院網路掛號系統公告為主"
12,63000000,國立台灣大學醫學院附設醫院,張立群,胸腔內科,"星期五 13:30-16:30(隔週)
※依臺大醫院網路掛號系統公告為主"
13,63000000,國立台灣大學醫學院附設醫院,林書永,胸腔內科,"星期三 13:30-16:30 
星期五 13:30-16:30(隔週)
※依臺大醫院網路掛號系統公告為主"
14,63000000,國立台灣大學醫學院附設醫院,陳永瑄,胸腔內科,"星期三 09:00-12:00
※依臺大醫院網路掛號系統公告為主"
15,63000000,國立台灣大學醫學院附設醫院,李孟叡,胸腔內科,"星期四 09:00-12:00
※依臺大醫院網路掛號系統公告為主"
16,63000000,國立台灣大學醫學院附設醫院,陳彥霖,胸腔內科,"星期五 13:30-16:30
※依臺大醫院網路掛號系統公告為主"
17,63000000,國立台灣大學醫學院附設醫院,廖庭淯,胸腔內科,"星期一 09:00-12:00 (每月1,3,5週)
※依臺大醫院網路掛號系統公告為主"
18,63000000,國立台灣大學醫學院附設醫院,古世基,胸腔內科,"星期一 09:00-12:00
星期二 09:00-12:00 
※依臺大醫院網路掛號系統公告為主"
19,63000000,國立台灣大學醫學院附設醫院,郭律成,胸腔內科,"星期一 09:00-12:00
星期四 13:30-16:30 
※依臺大醫院網路掛號系統公告為主"
20,63000000,國立台灣大學醫學院附設醫院,陳冠宇,胸腔內科,"星期三 13:30-16:30
※依臺大醫院網路掛號系統公告為主"
21,63000000,國立台灣大學醫學院附設醫院,何肇基,胸腔內科,"星期三 13:30-16:30
※依臺大醫院網路掛號系統公告為主"
22,63000000,國立台灣大學醫學院附設醫院,王鶴健,胸腔內科,"星期一 13:30-16:30(隔週)
星期二 13:30-16:30(隔週) 
※依臺大醫院網路掛號系統公告為主"
23,63000000,國立台灣大學醫學院附設醫院,吳尚俊,胸腔內科,"星期二 09:00-12:00 
※依臺大醫院網路掛號系統公告為主"
24,63000000,國立台灣大學醫學院附設醫院,施金元,胸腔內科,"星期二 09:00-12:00【醫師約診】
※依臺大醫院網路掛號系統公告為主"
25,63000000,國立台灣大學醫學院附設醫院,蔡子修,胸腔內科,"星期二 13:30-16:30
星期四 13:30-16:30 
※依臺大醫院網路掛號系統公告為主"
26,63000000,國立台灣大學醫學院附設醫院,郭炳宏,胸腔內科,"星期二 13:30-16:30
星期四 09:00-12:00
※依臺大醫院網路掛號系統公告為主"
27,63000000,國立台灣大學醫學院附設醫院,廖唯昱,胸腔內科,"星期二 13:30-16:30
※依臺大醫院網路掛號系統公告為主"
28,63000000,國立台灣大學醫學院附設醫院,鄭之勛,胸腔內科,"星期二 13:30-16:30
星期五 09:00-12:00
※依臺大醫院網路掛號系統公告為主"
29,63000000,國立台灣大學醫學院附設醫院,張皓鈞,胸腔內科,"星期三 09:00-12:00
※依臺大醫院網路掛號系統公告為主"
30,63000000,國立台灣大學醫學院附設醫院,于鎧綸,胸腔內科,"星期三 13:30-16:30
※依臺大醫院網路掛號系統公告為主"
31,63000000,國立台灣大學醫學院附設醫院,郭耀文,胸腔內科,"星期三 13:30-16:30
※依臺大醫院網路掛號系統公告為主"
32,63000000,國立台灣大學醫學院附設醫院,林彥廷,胸腔內科,"星期四 09:00-12:00
※依臺大醫院網路掛號系統公告為主"
33,63000000,國立台灣大學醫學院附設醫院,吳惠東,胸腔內科,"星期五 09:00-12:00
※依臺大醫院網路掛號系統公告為主"
34,63000000,國立台灣大學醫學院附設醫院,張上淳,感染科,"星期五 09:00-12:00【醫師約診】
※依臺大醫院網路掛號系統公告為主"
35,63000000,國立台灣大學醫學院附設醫院,洪健清,感染科,"星期五 09:00-12:00【醫師約診】
※依臺大醫院網路掛號系統公告為主"
36,63000000,國立台灣大學醫學院附設醫院,陳宜君,感染科,"星期四 13:30-16:30 【醫師約診】
※依臺大醫院網路掛號系統公告為主"
37,63000000,國立台灣大學醫學院附設醫院,薛博仁,感染科,"星期一 09:00-12:00
※依臺大醫院網路掛號系統公告為主"
38,63000000,國立台灣大學醫學院附設醫院,盛望徽,感染科,"星期五 09:00-12:00
※依臺大醫院網路掛號系統公告為主"
39,63000000,國立台灣大學醫學院附設醫院,謝思民,感染科,"星期四 09:00-12:00【醫師約診】
※依臺大醫院網路掛號系統公告為主      "
40,63000000,國立台灣大學醫學院附設醫院,王振泰,感染科,"星期二 13:30-16:30
 星期四 09:00-12:00
※依臺大醫院網路掛號系統公告為主"
41,63000000,國立台灣大學醫學院附設醫院,盤松青,感染科,"星期三 09:00-12:00
星期四 13:30-16:30
※依臺大醫院網路掛號系統公告為主"
42,63000000,國立台灣大學醫學院附設醫院,孫幸筠,感染科,"星期三 09:00-12:00
星期四 13:30-16:30【醫師約診】
※依臺大醫院網路掛號系統公告為主"
43,63000000,國立台灣大學醫學院附設醫院,莊祐中,感染科,"星期二 09:00-12:00
※依臺大醫院網路掛號系統公告為主"
45,63000000,國立台灣大學醫學院附設醫院,劉旺達,感染科,"星期一 09:00-12:00【醫師約診】
※依臺大醫院網路掛號系統公告為主"
46,63000000,國立台灣大學醫學院附設醫院,陳抱宇,感染科,"星期二 13:30-16:30
※依臺大醫院網路掛號系統公告為主"
47,63000000,國立台灣大學醫學院附設醫院,胡婉妍,感染科,"星期二 13:30-16:30
※依臺大醫院網路掛號系統公告為主"
48,63000000,國立台灣大學醫學院附設醫院,黃于珊,感染科,"星期二 09:00-12:00
※依臺大醫院網路掛號系統公告為主"
49,63000000,國立台灣大學醫學院附設醫院,林冠吟,感染科,"星期一 13:30-16:30 
星期五 13:30-16:30
※依臺大醫院網路掛號系統公告為主"
50,63000000,國立台灣大學醫學院附設醫院,鄭琬豒,感染科,"星期四 13:30-16:30
※依臺大醫院網路掛號系統公告為主"
51,63000000,國立台灣大學醫學院附設醫院,陳冠州,感染科,"星期三 09:00-12:00 
※依臺大醫院網路掛號系統公告為主      "
53,63000000,國立臺灣大學醫學院附設醫院兒童醫院,黃立民,小兒感染科,"星期四 09:00-12:00 (隔週)
星期二 13:30-16:30
※依臺大醫院網路掛號系統公告為主"
54,63000000,國立臺灣大學醫學院附設醫院兒童醫院,李秉穎,小兒感染科,"星期五 09:00-12:00
※依臺大醫院網路掛號系統公告為主"
55,63000000,國立臺灣大學醫學院附設醫院兒童醫院,張鑾英,小兒感染科,"星期二 09:00-12:00
星期五 13:30-16:30
※依臺大醫院網路掛號系統公告為主"
56,63000000,國立臺灣大學醫學院附設醫院兒童醫院,呂俊毅,小兒感染科,"星期二 09:00-12:00
星期三 09:00-12:00
※依臺大醫院網路掛號系統公告為主"
57,63000000,國立臺灣大學醫學院附設醫院兒童醫院,陳中明,小兒感染科,"星期一 09:00-12:00
※依臺大醫院網路掛號系統公告為主"
58,63000000,國立臺灣大學醫學院附設醫院兒童醫院,詹珮君,小兒感染科,"星期五 13:30-16:30
※依臺大醫院網路掛號系統公告為主"
59,63000000,國立臺灣大學醫學院附設醫院兒童醫院,顏廷聿,小兒感染科,"星期一 09:00-12:00
星期五 09:00-12:00
※依臺大醫院網路掛號系統公告為主"
60,63000000,國立臺灣大學醫學院附設醫院兒童醫院,林文川,小兒感染科,"星期五 13:30-16:30 (雙週)
※依臺大醫院網路掛號系統公告為主"
61,63000000,國立臺灣大學醫學院附設醫院兒童醫院,馬瑄吟,小兒感染科,"星期五 13:30-16:30
※依臺大醫院網路掛號系統公告為主"
62,63000000,國立臺灣大學醫學院附設醫院兒童醫院,黃冠穎,小兒感染科,"星期一 09:00-12:00
星期四 09:00-12:00 (單週)
※依臺大醫院網路掛號系統公告為主"
63,63000000,臺北榮民總醫院,洪妙秋,兒童過敏感染科,"星期二 13:30-17:00 
星期三 13:30-17:00 
星期三 18:00-21:00
星期五 08:00-12:00
星期六 08:30-12:00"
64,63000000,臺北榮民總醫院,賴昭誠,兒童過敏感染科,"星期一 08:30-12:00 
星期一 18:30-21:00 
星期二 08:30-12:00 
星期四 13:30-17:00 
星期五 13:30-17:00"
65,63000000,臺北榮民總醫院,曾彥寒,胸腔內科,星期一 08:30-12:00  
66,63000000,臺北榮民總醫院,曾彥寒,肺腫瘤中心,星期五 08:30-12:00
67,63000000,臺北榮民總醫院,馮嘉毅,胸腔內科,"星期二 08:30-12:00 
星期四 08:30-12:00"
68,63000000,臺北榮民總醫院,潘聖衛,胸腔內科,"星期三 08:30-12:00
星期五 08:30-12:00"
69,63000000,三軍總醫院附設民眾診療服務處,王志堅,小兒感染科,內湖院區：星期二、星期五上午
70,63000000,三軍總醫院附設民眾診療服務處,張佳寧,小兒感染科,內湖院區：星期三上午、星期四下午
71,63000000,三軍總醫院附設民眾診療服務處,林德宇,感染科,"內湖院區：星期三上午
、星期二及星期五下午"
72,63000000,三軍總醫院附設民眾診療服務處,王甯祺,感染科,內湖院區：星期一上午、星期四下午
73,63000000,三軍總醫院附設民眾診療服務處,張峰義,感染科,內湖院區：星期四上午
74,63000000,三軍總醫院附設民眾診療服務處,林永崇,感染科,內湖院區：星期五上午
75,63000000,三軍總醫院附設民眾診療服務處,汪靖勛,感染科,內湖院區：星期一上午
76,63000000,三軍總醫院附設民眾診療服務處,江宗達,感染科,內湖院區：星期二上午
77,63000000,三軍總醫院附設民眾診療服務處,邱俊翔,感染科,內湖院區：星期三、星期四上午
78,63000000,三軍總醫院附設民眾診療服務處,王永志,感染科,內湖院區：星期三上午
79,63000000,三軍總醫院附設民眾診療服務處,吳瑞欣,感染科,內湖院區：星期五下午
80,63000000,三軍總醫院附設民眾診療服務處,吳俊漢,胸腔內科,內湖院區：星期五下午
81,63000000,三軍總醫院附設民眾診療服務處,王勝輝,胸腔內科,內湖院區：星期一下午、星期四上午
82,63000000,三軍總醫院附設民眾診療服務處,鄭立廷,胸腔內科,內湖院區：星期一下午
83,63000000,三軍總醫院附設民眾診療服務處,陳明琮,胸腔內科,內湖院區：星期三下午
84,63000000,三軍總醫院附設民眾診療服務處,吳世偉,胸腔內科,內湖院區：星期一、星期三上午
85,63000000,三軍總醫院附設民眾診療服務處,孟繁俊,胸腔內科,內湖院區：星期一下午、星期四上午
86,63000000,三軍總醫院附設民眾診療服務處,劉佳鑫,胸腔內科,內湖院區：星期一、星期四下午
87,63000000,三軍總醫院附設民眾診療服務處,陳盈潔,胸腔內科,內湖院區：星期三下午、星期五早上
88,63000000,三軍總醫院附設民眾診療服務處,張山岳,胸腔內科,內湖院區：星期二、星期三下午
89,63000000,三軍總醫院附設民眾診療服務處,蔡鎮良,胸腔內科,內湖院區：星期一上午、星期五下午
90,63000000,三軍總醫院附設民眾診療服務處,簡志峯,胸腔內科,"內湖院區：星期二上、星期五上午
星期三下午"
91,63000000,三軍總醫院附設民眾診療服務處,沈志浩,胸腔內科,內湖院區：星期二下午
92,63000000,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,楊勝雄,胸腔內科,星期一、星期二 09:00-12:00
93,63000000,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,吳玟叡,胸腔內科,"星期一、星期五 09:00-12:00
星期四 14:00-17:00"
94,63000000,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,吳崑明,胸腔內科,"星期一、星期五 09:00-12:00
星期二 14:00-17:00"
95,63000000,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,余秉宗,胸腔內科,"星期一、星期三 09:00-12:00
星期四 14:00-17:00"
96,63000000,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,劉景隆,胸腔內科,星期一、星期三 14:00-17:00
97,63000000,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,顏嘉德,胸腔內科,"星期一 14:00-17:00
星期六 09:00-12:00"
98,63000000,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,郭秋萍,胸腔內科,星期一 14:00-17:00
99,63000000,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,施慧瑄,胸腔內科,"星期一 14:00-17:00
星期二、星期四 09:00-12:00"
100,63000000,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,林榮祿,胸腔內科,"星期二、星期四 09:00-12:00
星期三 14:00-17:00"
101,63000000,台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,蘇健,胸腔內科,"星期三、星期四 09:00-12:00
星期二 14:00-17:00"
