NAME,COMNUM,ADDR,OWNER,ADDR_X,ADDR_Y
湛捷綠能股份有限公司,北市水證甲字第003236號,南京西路62號7樓,陳彥男,302370,2771721
九泰機電工程有限公司,北市水證甲字第003195號,內湖路一段335號2樓,褚健舜,307357,2775014
廣泉工程有限公司,北市水證甲字第002938號,環河南路3段227號1樓,黃大科,299707.143,2768195.797
億峯水電工程有限公司,北市水證甲字第001123號,永吉路180巷55號1樓,許文護,307659,2770834
定信工程顧問有限公司,北市水證甲字第000858號,錦州街50號9樓之19,林富雄,303080,2772545
啟盛水電有限公司,北市水證乙字第000183號,光復南路290巷48號1樓,王慎謀,306080,2770263
力揚機電工程股份有限公司,北市水證甲字第002757號,吉林路99號4樓,楊宗,303503,2772071
同達水電工程有限公司,北市水證乙字第000020號,武成街30號1樓,劉民川,299993.696,2767932.131
唯郡工程有限公司,北市水證甲字第002896號,復興北路48號3樓,陳慧娟,305528,2772349
廣躍工程有限公司,北市水證甲字第003044號,港墘路127巷5號1樓,林忠成,308142,2774526
工本動力工程有限公司,北市水證甲字第002877號,民和街28號1樓,雷洪,300389.916,2768769.402
鴻傑工程股份有限公司,北市水證甲字第003047號,吉林路97號7樓,黃文昇,303503,2772065
豪記工程有限公司,北市水證甲字第002600號,西園路2段372巷3弄21號1樓,林錫炎,299593.077,2768723.339
承龍水電工程有限公司,北市水證甲字第002416號,德昌街185巷29號1樓,陳小龍,299889.612,2768358.05
輝鉅企業有限公司,北市水證甲字第001105號,萬大路331號2樓,林金輝,300492.51,2768522.785
隆全工程有限公司,北市水證甲字第000599號,萬大路137巷17號1樓,黃肇麟,300562.219,2769094.649
佑同電業有限公司,北市水證甲字第001711號,萬大路200號6樓,鄭炎添,300489.377,2768903.456
水元工程有限公司,北市水證甲字第003050號,八德路3段212號8樓,蔡承璋,306178,2771207
捷正公寓大廈管理維護股份有限公司,北市水證甲字第002953號,三重路66號4樓,游文杰,311989.733,2772260.389
宜眾資訊股份有限公司,北市水證甲字第003056號,園區街3之2號6樓之3,林育業,311739,2772221
全駿機電工程股份有限公司,北市水證甲字第001830號,重陽路166巷6號1樓,余廣成,310648.746,2772210.937
百輝營造有限公司,北市水證甲字第003051號,杏林二路49號,林文鑑,300141,2781624
保創科技股份有限公司,北市水證甲字第003055號,經貿二路135號10樓,金孝唐,301468,2771463
謙暉實業有限公司,北市水證甲字第001929號,南港路1段136巷6弄5號1樓,周慧敏,311878.181,2772101.219
利旭工程有限公司,北市水證甲字第002671號,研究院路2段2巷54弄7號1樓,莊建緯,311849.341,2771296.029
永川工程有限公司,北市水證甲字第002621號,成功路1段32號4樓之3,裘金富,309789.02,2772061.447
亞欣實業股份有限公司,北市水證甲字第002417號,重陽路275號4樓,鄧春生,311189.068,2772046.162
泰宣企業股份有限公司,北市水證甲字第002919號,園區街3之2號7樓之1,黃福森,311739.337,2772220.871
旭宣系統科技股份有限公司,北市水證甲字第002920號,園區街3之2號6樓之3,宋秉忠,311739.337,2772220.871
帆宣系統科技股份有限公司,北市水證甲字第002636號,園區街3-2號6樓,高新明,311739.337,2772220.871
長佳機電工程股份有限公司,北市水證甲字第002989號,西康里基湖路10巷1號8樓,王才翔,311835.5,2772182.452
久仲泰營造有限公司,北市水證甲字第003060號,林森北路627號7樓之1,鄭悅在,303052,2773306
至翊企業有限公司,北市水證甲字第002531號,玉成街166巷4號,鄭榮富,308922.739,2770836.726
晉財水電工程股份有限公司,北市水證甲字第003157號,舊莊街一段64號2樓,胡哲維,312496.428,2771999.805
惠民實業股份有限公司,北市水證甲字第003155號,民生東路三段135號5樓,吳萬益,303554,2771058
阜川實業有限公司,北市水證甲字第001791號,玉成街225巷11號2樓,蘇瑞文,309110.263,2770769.653
亞力電機股份有限公司,北市水證甲字第001482號,三重路19-11號12樓,宋和業,311922.558,2772402.482
老松工程有限公司,北市水證甲字第003172號,玉成街52巷1號1樓,李作銘,308666.694,2771228.795
世健工程有限公司,北市水證甲字第002766號,玉成街140巷9之1號,陳健銘,308837.563,2770842.871
禾郅股份有限公司,北市水證甲字第002949號,忠孝東路5段1之2號11樓,鄭祺馨,306298.666,2769488.833
高逸工程股份有限公司,北市水證甲字第002228號,信義路4段375號9樓之8,高樹榮,306283.09,2769579.941
汶發企業有限公司,北市水證甲字第002937號,吳興街118巷26弄11號,嚴汶淨,306270.671,2769325.893
星達水電工程有限公司,北市水證甲字第003165號,吉林路433巷7號,陳榮欽,303568,2773307
