序號,機構名稱,郵遞區號,地址,電話
1,國立台灣大學醫學院附設醫院,100,台北市中正區中山南路7號,02 2312 3456
2,和眾綜合診所,100,台北市中正區忠孝西路一段6號,?070 1011 9119
3,醫療財團法人徐元智先生醫藥基金會遠東聯合診所,100,台北市中正區永綏街8-14號,02 2311 1525
4,百分百牙醫診所,100,台北市中正區館前路１８號５樓,?02 2311 5100
5,怡樺牙醫診所,100,台北市中正區羅斯福路三段244巷2弄22號,02 2365 9395
6,蘇黎世牙醫診所,100,台北市中正區羅斯福路二段116號5樓,02 2362 1001
7,雙子星牙醫診所,100,台北市中正區館前路26號2樓,?02 2382 2345
8,博世牙醫診所,100,台北市中正區濟南路一段7號8樓,?02 2393 6772
9,尚義牙醫診所,100,台北市中正區懷寧街62號2樓,02 2371 1832
10,古亭復健診所,100,台北市中正區羅斯福路三段162號一樓,?02 2368 0528
11,立達診所,100,台北市中正區忠孝東路一段54號,02 5569 6188
12,古亭適康復健科診所,100,台北市中正區南昌路二段200號,02 2367 5885
13,好甘心診所,100,台北市中正區公園路30號2?,02 2370 0827
14,久瑞復健科診所,100,台北市中正區仁愛路二段21號,?02 2397 9060
15,永愉診所,100,台北市中正區忠孝東路一段54號3樓,?02 2321 8799
16,醫療財團法人好心肝基金會好心肝診所,100,台北市中正區公園路30號2?,02 2370 0827
17,千暘診所,103,台北市大同區民權西路268號2樓,?02 2557 0267
18,祐雙診所,103,台北市大同區民生西路138號2樓,02 2559 7277
19,中山適康復健科診所,104,台北市中山區龍江路268號,02 2515 5150
20,龍江固廉診所,104,台北市中山區龍江路360號,02 2517 0093
21,台北維德診所,104,台北市中山區民權東路三段66號1、2樓,02 2518 3535
22,中崙國際診所,104,台北市中山區八德路二段305號,?02 2771 1501
23,國防部醫務組診所,104,台北市中山區通北街65巷7號門,02 8509 9756
24,送子鳥11診所,104,台北市中山區樂群二路189號1、2樓,02 2532 3357
25,李宜霖診所,104,台北市中山區植福路298號,?02 2658 2669
26,北安聯合診所,104,台北市中山區北安路569-3號,02 2533 7777
27,大直診所,104,台北市中山區北安路595巷2弄2號,02 2533 2339
28,民生承安診所,104,台北市中山區民生東路三段90號,02 2503 2633
29,高固廉診所,104,台北市中山區北安路607號,02 2532 3036
30,創健診所,104,台北市中山區復興北路378號B1樓,02 5556 6789
31,佳禾骨科診所,104,台北市中山區民生西路54號3F,?02 2542 7171
32,聖和骨外科診所,104,台北市中山區農安街140號,02 2596 9131
33,群嚮牙醫診所,104,台北市中山區建國北路二段116巷5號,?02 2516 0689
34,緻美牙醫診所,104,台北市中山區長春路130-1號2樓,02 2522 2225
35,禾宇復健科診所,104,台北市中山區龍江路356巷79號,02 2502 8100
36,大直佳恩診所,104,台北市中山區北安路591號,02 2532 3301
37,惟廉診所,104,臺北市中山區北安路595巷1號地下一層,(02)25323038
38,陳博光教授診所,104,台北市中山區長安東路二段1號,02 2531 6262
39,佑達骨科診所,105,台北市松山區南京東路四段95號號1樓,02 2545 7958
40,長庚醫療財團法人長庚診所,105,台北市松山區民生東路三段130巷9號4樓,?02 2713 6500
41,泰華牙醫診所,105,台北市松山區光復北路38號,02 2578 6781
42,松新牙醫診所,105,台北市松山區八德路四段687號2樓,02 2766 2256
43,金欣牙醫診所,105,臺北市松山區八德路3段164號1樓﹑164之1號(1樓),(02)25779660
44,博飛迅牙醫診所,105,台北市松山區八德路四段666號7樓之2,02 2748 8933
45,光與綠牙醫診所,105,台北市松山區復興北路361巷8號1樓,?02 2501 5018
46,八德牙醫診所,105,台北市松山區八德路四段636號,02 2766 4466
47,國立臺灣大學醫學院附設醫院癌醫中心分院,106,台北市大安區基隆路三段155巷57號1樓,02 2322 0322
48,中心診所醫療財團法人中心綜合醫院,106,台北市大安區忠孝東路四段77號,02-2751-0221
49,國立台灣大學保健中心,106,台北市大安區羅斯福路四段1號,02 3366 2155
50,瀚群骨科診所,106,台北市大安區仁愛路四段2號1樓,02 8773 6903
51,和麗診所,106,台北市大安區和平東路一段121號2樓,?02 2358 2650
52,博恩妍診所,110,台北市信義區忠孝東路五段410號18樓,02 2731 5770
53,超越復健診所,106,台北市大安區羅斯福路二段81巷1號4樓,02 2362 0233
54,富盈診所,106,台北市大安區基隆路二段172-1號3樓,?02 6636 3996
55,敦力診所,106,台北市大安區敦化南路二段164號2樓,02 8732 5678
56,成長空間診所,106,台北市大安區敦化南路一段236巷29號1樓,?02 8772 3601
57,樂活診所,106,台北市大安區師大路12號,?02 2368 3883
58,愛群兒童成長診所,106,台北市大安區信義路三段155號1樓,02 5599 8330
59,宏康復健專科診所,106,台北市大安區信義路四段134號1樓,02 2755 0134
60,聯新國際診所,106,台北市大安區仁愛路四段77號3樓,02 2721 6698
61,杏保醫網信誠診所,106,台北市大安區信義路四段197號,02 2706 8208
62,佳齡診所,106,台北市大安區敦化南路1段205號1樓-B1,02 2721 1258
63,禾馨大安婦幼診所,106,臺北市大安區新生南路3段4號2樓?,(02)33652766
64,凡登顱顏診所,106,台北市大安區信義路三段149號3樓,02-2703-8858
65,伊美學牙醫診所,106,台北市大安區敦化南路一段233巷40號1樓,?02 2721 1010
66,世旻牙醫診所,106,台北市大安區復興南路二段151巷13號,02 2708 1398
67,安曼牙醫診所,106,台北市大安區復興南路一段135巷27號8樓之3,02 2775 2995
68,新華陀牙醫診所,106,台北市大安區復興南路一段206號4樓-1,02 2778 4988
69,大馨牙醫診所,106,台北市大安區敦化南路1段180號2樓,02 2711 2169
70,吳岳龍牙醫診所,106,台北市大安區仁愛路四段64號3樓,02 2755 0066
71,仁一牙醫診所,106,台北市大安區仁愛路四段449號6樓,02 2773 0222
72,基督復臨安息日會醫療財團法人臺安診所,105,台北市松山區八德路二段424號,02 2771 8151
73,尹書田醫療財團法人書田泌尿科眼科診所,106,台北市大安區建國南路二段276號,?02 2369 0211
74,西園醫療社團法人西園醫院,108,台北市萬華區西園路二段270號,02 2307 6968
75,松柏復健科診所,108,台北市萬華區中華路二段426之1號,02 2304 9595
76,同仁院醫療財團法人貴陽診所,108,台北市萬華區昆明街169號1樓,02 2388 8701
77,復安診所,108,"台北市萬華區寶興街115,117號",02 2303 9909
78,台新美學牙醫診所,108,台北市萬華區中華路一段170號2樓之一,02 2388 8581
79,瑞生診所,108,台北市萬華區西園路二段250號,02 2301 2788
80,張育驍診所,110,台北市信義區吳興街467巷2弄6號,02 2729 6611
81,信義101健康管理診所,110,台北市信義區信義路五段8號4樓、14樓,02 2570 7222
82,健康吉美診所,110,台北市信義區基隆路一段176號16樓,02 2769 8822
83,仁瀚骨科診所,110,台北市信義區信安街151號,02 2736 8768
84,祐誠骨科診所,110,台北市信義區信義路六段77號1樓,?02 2726 9788
85,品軒牙醫診所,110,臺北市信義區市民大道6段250號1樓,(02)27565685
86,艾來牙醫診所,110,台北市信義區林口街190號,02 8726 1166
87,謝政興泌尿科診所,110,台北市信義區忠孝東路五段1-2號號3F,02 2748 1327
88,依心唯美整形外科診所,110,台北市信義區基隆路二段15號2樓,02 2345 6777
89,錢本文診所,110,臺北市信義區信義路5段150巷2號17樓之1,?(02)27222071
90,信義霍普金斯診所,110,台北市信義區忠孝東路五段477-6號,02 2768 0618
91,台灣中油股份有限公司員工診所,110,台北市信義區松仁路3號號,02 8725 9796
92,臺北市立聯合醫院附設信義門診部,110,台北市信義區大道路116號,?02 8780 4152
93,原力復健科診所,110,台北市信義區基隆路二段145號1樓,02 2732 7311
94,臺北醫學大學附設醫院,110,臺北醫學大學附設醫院,02 2737 2181
95,國瑞牙醫診所,110,台北市信義區中坡北路5號2樓,?02 8785 6708
96,永吉聯合診所,110,台北市信義區永吉路329號,02 2761 8780
97,聯志骨科診所,111,台北市士林區承德路四段184號,02 2881 0050
98,文林骨科診所,111,台北市士林區文林路468號,?02 2833 6168
99,永恆美診所,111,台北市士林區忠誠路一段58號,?02 2831 3107
100,健群骨科診所,111,台北市士林區延平北路六段10號,02 2816 8770
101,東杏診所,111,臺北市士林區中山北路六段431之2號2樓,02-28712011
102,永安診所,111,台北市士林區中山北路六段405巷63號,02 2873 5068
103,新光醫療財團法人新光吳火獅紀念醫院,116,台北市文山區興隆路三段111號,
104,海蒂牙醫診所,111,台北市士林區中山北路五段641號,02 2834 8476
105,唯心牙醫診所,111,台北市士林區社子街34號,02 2811 8736
106,劍潭璞軒牙醫診所,111,台北市士林區承德路四段50號,02 2886 8586
107,悅馨牙醫診所,111,臺北市士林區中山北路5段472號4樓,(02)28833475
108, 悅美牙醫診所,111,臺北市士林區中山北路5段472號7樓,(02)28833485
109,和玉牙醫診所,111,台北市士林區中山北路六段405巷55號,02 2876 2020
110,永慶牙醫診所,111,台北市士林區大東路127號1樓,02 2881 7289
111,新鼎牙醫診所,111,台北市士林區天母西路11號2樓,02 2871 7700
112,晶亮牙醫診所,111,台北市士林區小北街5號,02 2882 7680
113,天悅牙醫診所,111,台北市士林區中山北路六段268號,02 2833 8800
114,弘佑牙醫診所,111,台北市士林區天玉街38巷12-1號,?02 2871 1299
115,石牌實和復健診所,112,台北市北投區文林北路262號一樓,02 2827 3255
116,常哲診所,112,台北市北投區明德路157-4號,02 2828 5515
117,旭康復健科診所,112,台北市北投區石牌路一段40號,02 2828 0067
118,如翊健康診所,112,台北市北投區天母西路128號,?02 2821 5100
119,北投骨科診所,112,台北市北投區中央南路一段178號,02 2896 1388
120,張參雄診所,112,台北市北投區光明路166號,02 2892 6555
121,臻心復健科診所,112,台北市北投區東華街一段370號1樓,02 2828 5370
122,臺北榮民總醫院,112,台北市北投區石牌路二段201號,02 2871 2121
