序號,機構名稱,郵遞區號,地址,電話
1,康富物理治療所,100,"台北市中正區寧波西街3號4樓
",02 2343 2200
2,夢飛翔物理治療所,100,台北市中正區羅斯福路一段94號2樓,?02 2322 2223
3,賦爾力物理治療所,100,台北市中正區金山南路一段73巷1-1號,02 2393 1698
4,脊聲動物理治療所,100,台北市中正區南昌路二段222號11樓之2,02 7730 6339
5,阿舟物理治療所,100,台北市中正區桃源街1號8樓,02 2388 0895
6,博證物理治療所,100,台北市中正區青島東路9號3樓,02 2391 9598
7,挺立康物理治療所,100,台北市中正區忠孝西路一段33號3樓,02 7713 6066
8,生生優動古亭運動物理治療所,100,台北市中正區福州街10號2樓,02 6605 7889
9,維衡物理治療所,100,台北市中正區衡陽路20號7樓,02 2388 2318
10,脊姿維運動物理治療所,100,台北市中正區金山南路一段67巷10號1樓,0905 531 135
11,暐淩居家物理治療所,100,台北市中正區重慶南路一段57號11樓之6,02 2312 1816
12,森暉物理治療所,103,台北市大同區民權西路106號3樓,02 2550 1516
13,碩康物理治療所,103,台北市大同區長安西路289號1樓,?0988 616 987
14,瞻穎物理治療所,103,台北市大同區南京西路288號3樓之1,02 2550 0211
15,燈塔居家物理治療所,103,台北市大同區民族西路95之3號,0937 692 257
16,愛迪樂中山物理治療所,104,台北市中山區松江路221巷17號,02 2521 6043
17,諾得特物理治療所,104,台北市中山區建國北路二段65號3樓,?02 2500 0658
18,陽明動身物理治療所,104,台北市中山區遼寧街119號5 樓,02 8772 9183
19,全星物理治療所,104,台北市中山區民權西路35號2樓,02 2599 4881
20,透視物理治療所,104,台北市中山區林森北路50號5樓之4,
21,研力物理治療所,104,台北市中山區南京東路三段28號中國企業大樓2樓,02 2504 1999
22,史塔克運動物理治療所,104,台北市中山區樂群二路189號5F-3,02 8509 2555
23,新順安物理治療所,104,台北市中正區南京東路二段100號3號3號樓之2,?0918-030-713
24,展岳物理治療所,104,台北市中山區敬業一路128巷30號,02 8502 6290
25,樂脊物理治療所,104,台北市中山區復興北路354號3樓,?02 2502 5161
26,明水物理治療所,104,台北市中山區北安路554巷45號,02 8509 2815
27,厝邊頭家物理治療所,104,台北市中山區新生北路二段47號1樓,?02 2537 2293
28,珂斯汀物理治療所,104,台北市中山區民生東路三段88巷8號1樓,0933 321 625
29,安和物理治療所,104,台北市中山區長安東路二段178號三樓,02 2777 3005
30,大德物理治療所,104,台北市中山區復興北路66號3 樓,
31,奇癒物理治療所,104,台北市中山區德惠街2號11樓,02 2592 4663
32,愛迪樂物理治療所,104,台北市中山區松江路221巷17號,02 2521 6043
33,三個字物理治療所,104,台北市中山區天祥路33巷12號,
34,攀躍物理治療所,104,台北市中山區德惠街17號6樓,02 2599 6901
35,勁緻物理治療所,104,台北市中山區樂群三路71號二樓,?02 8502 5822
36,歐首物理治療所,104,台北市中山區長春路257號,02 2518 2567
