序號,機構類型,行政區,機構名稱,地址,電話
1,日間型,北投區,三軍總醫院北投分院附設社區復健中心,臺北市北投區新民路49號,(02)28914540
2,日間型,內湖區,臺北市立聯合醫院心湖職能工作坊,臺北市內湖區康樂街150號3樓,(02)26349681
3,日間型,士林區,臺北市立聯合醫院福中職能工作坊,臺北市士林區福港街151號5樓,(02)28801300
4,日間型,中正區,私立恩心社區復健中心,臺北市中正區南海路112巷11號1樓,(02)23324238
5,日間型,文山區,臺北市立聯合醫院文山職能工作坊,臺北市文山區興隆路二段160號1~2樓,(02)29332373
6,住宿型,北投區,私立禾康康復之家,臺北市北投區公館路433號2~3樓,(02)28278489
7,住宿型,北投區,私立翔宇康復之家,臺北市北投區公館路433號4~5樓,(02)28270288
8,住宿型,北投區,私立協和康復之家,臺北市北投區行義路114巷2號,(02)28732281
9,住宿型,北投區,私立奇岩康復之家,臺北市北投區奇岩路105號,(02)28975702
10,住宿型,北投區,私立承安康復之家,臺北市北投區溫泉路18之1、18之2號1~4樓,(02)28961316
11,住宿型,北投區,私立承宏康復之家,臺北市北投區崗山路26之1號1~3樓,(02)28953368
12,住宿型,北投區,私立演慈康復之家,臺北市北投區復興四路93號1~2樓,(02)28913688
13,住宿型,南港區,私立德瑞康復之家,臺北市南港區成福路235號1~2樓,(02)27889390
14,住宿型,中山區,私立中華康復之家,臺北市中山區林森北路561號4樓之1至之9,(02)25872006
15,住宿型,中山區,私立平安康復之家,臺北市中正區汀州路3段56號3樓,(02)25623885
16,住宿型,中山區,私立樂恬康復之家,臺北市中山區長安東路1段63號6樓,(02)25682926
17,住宿型,中山區,私立永芯康復之家,臺北市中山區長安東路1段63號5樓,(02)25675927
18,住宿型,中山區,私立采虹康復之家,臺北市中山區建國北路三段42號12樓,(02)25066716
19,住宿型,中山區,私立長安康復之家,臺北市中正區汀州路3段56號4樓,(02)25239989
20,住宿型,中山區,私立長育康復之家,臺北市中山區松江路90巷3之11、3之12號6樓,(02)25316230
21,住宿型,中山區,私立長德康復之家,臺北市中山區民生西路16號2樓,(02)25110568
22,住宿型,中山區,私立南港康復之家,臺北市中山區長安東路1段63號3樓,(02)25216122
23,住宿型,中山區,私立涵宇康復之家,臺北市中山區林森北路561號3樓,(02)25933003
24,住宿型,中山區,私立双連康復之家,臺北市中山區民權東路1段67號4樓,(02)25958522
25,住宿型,中山區,私立賀勝康復之家,臺北市中山區吉林路20號3、4樓,(02)21006396
26,住宿型,中山區,私立賀健康復之家,臺北市中山區吉林路20號5、6樓,(02)21001015
27,住宿型,中山區,私立德耘康復之家,臺北市中山區林森北路609號7樓,(02)25350711
28,住宿型,內湖區,私立吉田康復之家,臺北市內湖區民權東路六段90巷18號5樓,(02)27941418
29,住宿型,內湖區,私立好康康復之家,臺北市內湖區安康路470號2樓、474號2樓,(02)26306383
30,住宿型,松山區,私立佳安康復之家,臺北市松山區南京東路五段162號3樓、164號3樓、162號3樓之1、164號3樓之1,(02)27671108
31,住宿型,松山區,私立真宸康復之家,臺北市松山區南京東路五段399號4樓,(02)27458668
32,住宿型,士林區,私立佑昇康復之家,臺北市士林區重慶北路四段130號,(02)28118099
33,住宿型,士林區,私立佳樺康復之家,臺北市士林區中山北路6段246、248號6樓,(02)28356177
34,住宿型,士林區,私立詠康康復之家,臺北市士林區重慶北路四段68號1~4樓,(02)28150026
35,住宿型,士林區,私立慈誠康復之家,臺北市士林區中山北路六段290巷43號1~2樓,(02)28378580
36,住宿型,士林區,私立舒心康復之家,臺北市士林區德行東路109巷104號3樓、4樓,(02)28312458
37,住宿型,士林區,私立天母康復之家,臺北市士林區德行東路109巷104號5樓,(02)28318547
38,住宿型,士林區,私立芯苑康復之家,臺北市士林區德行東路109巷104號6樓、7樓,(02)28314473
39,住宿型,中正區,私立南海康復之家,臺北市中正區南海路112巷11號2~3樓,(02)23328498
40,住宿型,中正區,私立源芃康復之家,臺北市中正區漢口街一段110號3樓之1,(02)23123106
41,住宿型,中正區,私立德安康復之家,臺北市中正區南海路112巷11號4~5樓,(02)23327955
42,住宿型,大同區,私立崇生康復之家,臺北市大同區重慶北路二段188號3樓,(02)25538802
43,住宿型,大同區,私立三原色康復之家,臺北市大同區寧夏路32號2樓,(02)25501123
44,住宿型,萬華區,私立康怡康復之家,臺北市萬華區西園路二段243之5號1~4樓,(02)23397817
45,住宿型,信義區,私立永青康復之家,臺北市信義區吳興街284巷77號,(02)27387378
46,住宿型,大安區,私立如意康復之家,臺北市大安區和平東路二段62巷2-2號3樓,(02)27358753
47,住宿型,大安區,私立安如康復之家,臺北市大安區和平東路2段62巷2-1號2樓,(02)27325455
48,住宿型,大安區,私立圓心康復之家,臺北市大安區羅斯福路二段75號7樓,(02)23632811
49,住宿型,大安區,私立瑞安康復之家,臺北市大安區和平東路2段62巷2號1樓,(02)27360013
50,住宿型,文山區,私立莛苑康復之家,臺北市文山區萬和街6號10樓,(02)82301671
51,住宿型,文山區,私立木柵康復之家,臺北市文山區木柵路四段159巷2之9號1樓、2之10號1~2樓、2之11號1~2樓,(02)82300469
52,住宿型,文山區,私立均怡康復之家,臺北市文山區萬利街71號2~4樓,(02)22390839
53,住宿型,文山區,私立青松康復之家,臺北市文山區景文街97號2樓,(02)29303106
54,精神護理之家,信義區,臺北市立聯合醫院附設松德精神護理之家,臺北市信義區松德路309號,(02)27263141
