課程名稱,開課起始日期,開課結束日期,地點,電話,人數,授課老師
週三上午ㄧ體適能運動課程,2025-01-01,2025-12-31,財團法人基督教拿撒勒人會(關渡據點),(02)28586757,28,陳雅葳
週五上午ㄧ促進健康運動課程,2025-01-01,2025-12-31,財團法人基督教拿撒勒人會(關渡據點),(02)28586757,28,陳睿玟
週五上午ㄧ預防及延緩失能,2025-05-16,2025-08-08,財團法人基督教拿撒勒人會(關渡據點),(02)28586757,30,陳睿玟
週五上午ㄧ預防及延緩老化失能,2025-08-15,2025-11-07,財團法人基督教拿撒勒人會(關渡據點),(02)28586757,30,陳睿玟
週五上午--椅上強健核心肌力運動,2025-11-14,2025-12-31,財團法人基督教拿撒勒人會(關渡據點),(02)28586757,30,陳睿玟
預防及延緩失能-3,2025-09-04,2025-11-20,財團法人台北市北投文化基金會,(02)28934760,15,黎庭安
養生太極-2,2025-09-02,2025-12-30,財團法人台北市北投文化基金會,(02)28934761,20,龔一誠
銀髮體適能-2,2025-09-03,2025-12-31,財團法人台北市北投文化基金會,(02)28934762,20,李星儀
肌力勇健班,2025-03-07,2025-12-31,臺北市北投區開明社區發展協會,0912-818252,25,許筑媛
基礎日語班,2025-03-06,2025-12-25,臺北市北投區開明社區發展協會,0912-818252,25,漆田由紀
進階日語班,2025-03-04,2025-12-30,臺北市北投區開明社區發展協會,0912-818252,25,漆田由紀
書法班,2025-03-05,2025-12-31,臺北市北投區開明社區發展協會,0912-818252,25,詹美絨
彩繪壓克力畫班,2025-03-05,2025-12-31,臺北市北投區開明社區發展協會,0912-818252,25,張素戀
健康動動班,2025-03-05,2025-12-31,臺北市北投區開明社區發展協會,0912-818252,25,許筑媛
預防及延緩失能,2025-03-06,2025-11-27,臺北市北投區開明社區發展協會,0912-818252,25,許筑媛
醫藥保健、衛生教育、體適能運動課程,2025-02-01,2025-12-31,臺北市北投區豐年里辦公處,(02)28914462,20,楊雁如
書法課,2025-02-01,2025-12-31,臺北市北投區豐年里辦公處,(02)28914462,20,葉瑞庚
預防及延緩失能,2025-02-03,2025-10-13,臺北市北投區立群社區發展協會,(02)28225613,15,高慧娟
日文班,2025-01-01,2025-12-31,臺北市北投區立群社區發展協會,(02)28225613,15,林美珠
創意美勞＋身體律動,2025-01-01,2025-12-31,臺北市北投區立群社區發展協會,(02)28225613,15,林爰君
書法班,2025-01-01,2025-12-31,臺北市北投區立群社區發展協會,(02)28225613,15,葉素美
體/腦適能+桌遊、手機教學,2025-10-20,2025-12-31,臺北市北投區立群社區發展協會,(02)28225613,15,高慧娟
全方位樂齡關懷課程,2025-04-01,2025-12-31,臺北市北投區立群社區發展協會,(02)28225613,15,臺北護理健康大學講師
元氣樂活班,2025-01-08,2025-12-31,臺北市北投區秀山社區發展協會,(02)28941666,15,廖美智
樂活健康愛律動,2025-07-07,2025-08-25,臺北市北投區秀山社區發展協會,(02)28941666,15,高慧娟
創意甜心-糖霜餅乾,2025-09-04,2025-09-25,臺北市北投區秀山社區發展協會,(02)28941666,15,江月珠
手工藝課程、塗鴉世界,2025-04-01,2025-12-31,臺北市北投區湖山里辦公處,0932-923070,30,顏世廷、楊善茵、郭秀琴
心靈與美食饗宴,2025-01-01,2025-12-31,臺北市北投區清江社區發展協會,(02)28922543,15,
長青日語進階(一),2025-01-01,2025-12-31,臺北市北投區清江社區發展協會,(02)28922543,15,陳紀代美
長青日語進階(二),2025-01-01,2025-12-31,臺北市北投區清江社區發展協會,(02)28922543,15,陳紀代美
清江編織班,2025-01-01,2025-12-31,臺北市北投區清江社區發展協會,(02)28922543,15,鄭李淑雲
預防及延緩失能,2025-03-07,2025-12-31,臺北市北投區清江社區發展協會,(02)28922543,20,預防及延緩失能指導員
回轉像小孩之生活遊樂園,2025-12-01,2025-12-31,臺北市北投區清江社區發展協會,(02)28922543,15,李念庭
書法水墨畫班,2025-01-01,2025-12-31,臺北市北投區永和社區發展協會,(02)28765741,60,陳秋圓
日文(含歌唱)班,2025-01-01,2025-12-31,臺北市北投區永和社區發展協會,(02)28765741,60,漆沺由紀
太極班,2025-01-01,2025-12-31,臺北市北投區永和社區發展協會,(02)28765741,60,林欽發
手工拼布、編織班,2025-01-01,2025-12-31,臺北市北投區永和社區發展協會,(02)28765741,60,艾萍
樂活健健美,2025-01-01,2025-12-31,臺北市北投區榮光社區發展協會,(02)28231593,30,講師、據點人員、志工
預防及延緩失能,2025-03-01,2025-11-30,臺北市北投區榮光社區發展協會,(02)28231593,25,講師、據點人員
創意美勞,2025-01-01,2025-12-31,臺北市北投區榮光社區發展協會,(02)28231593,30,林爰君
運動保健,2025-01-01,2025-12-31,臺北市北投區桃源里辦公處,(02)28933131,50,
花漾爺奶舞蹈教學及團康活動,2025-01-01,2025-12-31,臺北市北投區智仁里辦公處,(02)28959722,20,白婉芝
大腦健康操,2025-03-04,2025-12-30,臺北市北投區新稻香社區發展協會,0989-089138,20,酈佩珍
體適能運動,2025-04-10,2025-12-25,臺北市北投區新稻香社區發展協會,0989-089138,50,陳文玲
預防及延緩失能,2025-01-08,2025-12-31,臺北市北投區文林里辦公處,(02)28231156,15,鄭柏詳
健康促進「肌」不可失，活躍老化動動健康課程,2025-01-01,2025-12-31,臺北市北投區文林里辦公處,(02)28231156,30,林士懿、法鼓文理學院社區再造團隊(李珮緁、簡麗芬、陳少如等)＋志工
樂齡心交流溫馨Corner,2025-01-01,2025-12-31,臺北市北投區文林里辦公處,(02)28231156,20,林耀南、法鼓文理學院社區再造團隊(李珮緁、簡麗芬、陳少如等)
樂齡養生健康課程（雙週）,2025-01-01,2025-12-31,臺北市北投區文林里辦公處,(02)28231156,20,林柏樺、法鼓文理學院社區再造團隊(李珮緁、簡麗芬、陳少如等)＋志工
歡樂紓壓一起動,2025-02-05,2025-12-31,臺北市北投區文化里辦公處,(02)28917488,25,邱翊珊
文化書法班,2025-02-05,2025-12-31,臺北市北投區文化里辦公處,(02)28917488,25,張大華
書法教學,2025-03-04,2025-12-23,臺北市北投區振華社區發展協會,(02)28236110,15,賴尚甫
太極養生,2025-01-08,2025-12-24,臺北市北投區振華社區發展協會,(02)28236110,20,杜王雪雲
美容美髮教學,2025-01-03,2025-12-26,臺北市北投區振華社區發展協會,(02)28236110,20,蔡藝
客家歌說唱,2025-01-03,2025-12-26,臺北市北投區振華社區發展協會,(02)28236110,20,蔡梅秋
預防及延緩失能3,2025-07-02,2025-09-17,臺北市北投區振華社區發展協會,(02)28236110,15,何淑平
預防及延緩失能方案,2025-06-12,2025-08-31,臺北市北投區建民里辦公處,(02)28282580,20,林耀南
預防及延緩失能方案,2025-09-04,2025-11-20,臺北市北投區建民里辦公處,(02)28282580,20,林耀南
建民里健康促進課動動班,2025-11-27,2025-12-31,臺北市北投區建民里辦公處,(02)28282580,20,林耀南
樂活動一動,2025-03-01,2025-12-31,臺北市北投區建民里辦公處,(02)28282580,20,gaga老師、黃宥翔
彈力帶肌力訓練,2025-01-07,2025-12-30,財團法人陽明山基督教天母禮拜堂,(02)28711622,25,李承遠
社區生活學苑,2025-01-03,2025-12-26,財團法人陽明山基督教天母禮拜堂,(02)28711622,60,吳曉萍
樂活健康班,2025-01-06,2025-12-29,財團法人福智慈善基金會(天母),(02)28382503,15,陳宗保、楊美美、李岳峰、邱敏祥等
