編號,年度,按摩據點名稱,地址,營業時間
1,115,中華寶健推按所,臺北市士林區中山北路7段190巷32-5號2樓,預約制
2,115,金星按摩院,臺北市士林區延平北路5段187號2樓,週一至週日10:00-22:00/公休週四
3,115,臺北市立聯合醫院-陽明院區按摩小站,臺北市士林區雨聲街105號(2樓門診區),週一至週五 9:00-17:00 週六8:30-12:30
4,115,小郁按摩,臺北市士林區福國路95號5樓之1,週一至週日11:00-21:00(預約制)
5,115,正宗台灣阿甘視障按摩小棧-士林店,臺北市士林區中正路230號1樓,週一至週日11:00-21:00
6,115,大順按摩院,臺北市大同區太原路175巷20號2樓,週一至週日 11:00-21:00
7,115,按讚專業視障經穴按摩,臺北市大同區民生西路111號1樓,週一至週日11:00-23:00
8,115,信安按摩-民生店,臺北市大同區民生西路182號1樓,週一至週日 12:00-23:00
9,115,真好盲友按摩站,臺北市大同區地下街Y1、Y2出口,週一至週日11:00-21:00
10,115,拍按叫絕健康按摩,臺北市大同區延平北路2段127號6樓之15,週一至週日10:00-凌晨02:00
11,115,琦想按摩工作坊,臺北市大同區長安西路52之一號B1(中山地下街A13店舖),週一至週日11:00-21:00
12,115,立康社區按摩站,臺北市大同區南京西路18巷8之3號 1樓,週一至週六10:00-21:00/週日11:00-19:00
13,115,永清按摩,臺北市大同區南京西路302巷2號3樓,週一至週日11:00-21:00
14,115,永樂活力按摩小站,臺北市大同區迪化街一段21號1樓,週一至週日9:30-18:00
15,115,臺北市立聯合醫院-中興院區按摩小站,臺北市大同區鄭州路145號2樓,週一至週五9:00-17:00 週六8:30-12:30
16,115,臺北市立聯合醫院-仁愛院區按摩小站,臺北市大安區仁愛路4段10號2樓,週一至週五8:30-17:30 週六8:30-12:30
17,115,永興按摩中心,臺北市大安區光復南路460號2樓,週一至週日10:00-22:00(預約制)
18,115,推手視障按摩,臺北市大安區光復南路682號1樓,週一至週日12:00-23:00
19,115,大安運動中心按摩小站,臺北市大安區辛亥路3段55號,週一至週五12:00-21:00 週六、日11:00-21:00
20,115,中山按摩院,臺北市大安區延吉街157之5號3樓,週一至週六10:00-23:00(預約制)
21,115,華賓按摩,臺北市大安區忠孝東路4段216巷19弄1號2樓,週一至週日10:00-23:00(預約制)
